case,source_directory,backend,input_files
si_100_gpaw,silicon/100,gpaw,"Si_100.cif"
si_100_chgnet,silicon/100/CHGNET,chgnet,"Si_100.cif"
si_100_mace,silicon/100/MACE,mace,"Si_100.cif"
si_110_gpaw,silicon/110,gpaw,"Si_110.cif"
si_110_chgnet,silicon/110/CHGNET,chgnet,"Si_110.cif"
si_110_mace,silicon/110/MACE,mace,"Si_110.cif"
si_111_gpaw,silicon/111,gpaw,"Si_111.cif"
si_111_chgnet,silicon/111/CHGNET,chgnet,"Si_111.cif"
si_111_mace,silicon/111/MACE,mace,"Si_111.cif"
graphene,graphene,chgnet,"grafeno_retangular.cif"
graphene_y,graphene/Y,chgnet,"grafeno_retangular.cif"
graphene_vac10,graphene/vac10p,chgnet,"grafeno_retangular.cif"
graphene_vac10_n10,graphene/vac10p_10pN,chgnet,"grafeno_retangular.cif"
diamond,diamond,chgnet,"diamond_332.cif"
graphite,graphitte,chgnet,"442.cif"
sic_001,SiC/001,chgnet,"SiC_grafeno.cif;hex_grafeno.cif"
sic_010,SiC/010,chgnet,"SiC_grafeno.cif;hex_grafeno.cif"
sic_100,SiC/100,chgnet,"SiC_grafeno.cif;hex_grafeno.cif"
mos2_graphene,MoS2,chgnet,"graphene_mos2_seed_x.cif;mos2_lateral_template_x.cif"
graphene_fe_b_template_free,graphitte_Fe_B,chgnet,"graphit_replicado_vacuo.cif"
