step,event_type,deposited_species,intended_species,impurity_kind,is_vacancy,species_flux,anchor_mode,growth_axis,surface_axes,n_atoms,n_initial,n_added,n_vacancies,n_growth_events,kmc_time,dt,temperature_K,flux_ML_s,n_sites,deposition_total_rate_s_inv,e_total_eV,e_before_eV,e_after_eV,delta_e_relaxed_eV,e_ads_unrelaxed_eV,chosen_boltzmann_probability,rate_s_inv,total_rate_s_inv,mobile_count,added_index,anchor_index,n_surface_anchors,n_tested_candidates,min_distance_A,x_event_A,y_event_A,z_event_A,surface_area_A2,gamma_initial_eV_A2,gamma_effective_eV_A2,gamma_effective_J_m2,top_coord_A,bottom_coord_A,slab_thickness_A,growth_height_A,roughness_A,coverage_estimate_ML,front_mean_A,front_median_A,front_p90_A,front_grid_rms_A,front_grid_occupied_fraction,growth_front_mean_A,growth_front_median_A,growth_front_p90_A,first_template_layer_occupancy,highest_90pct_complete_layer,n_template_layers,contiguous_90pct_complete_layers,contiguous_complete_layer_fraction,mean_template_layer_occupancy,n_template_growth_sites,n_occupied_template_growth_sites,template_growth_occupancy_fraction,frozen_vacancy_fraction_of_template,incorporation_efficiency_per_event,added_areal_density_atoms_A2,growth_front_mean_per_event_A,growth_front_mean_per_added_atom_A,growth_front_mean_per_template_site_A,template_growth_extent_A,growth_front_mean_fraction_of_template,coordination_mean,coordination_surface_mean,coordination_added_mean,fraction_added_CN4
1,template_deposition,Mo,Mo,none,0,1.0,template_site:index=42:site=Mo:neigh=3:ahead0=1.274:mode=shell,x,yz,262,261,1,0,1,22.618532610231348,22.618532610231348,500.0,0.001,83.625,0.083625,-2187.6304,-2174.683,-2187.6304,-12.947266,-10.623779,0.915876407466339,0.083625,0.083625,31,261,42,4,4,2.473267764157489,11.675388188345044,8.79833099707,14.8764501,669.0,0.0,-0.019353162,-0.31007186,25.095121470830364,0.49999999916963384,24.59512147166073,14.693930366910324,1.019659870358351,0.01195814648729447,16.11902732282799,14.027770941899236,25.095121470830364,6.508356446307139,0.5,6.15096566146654,4.059709280537787,14.693930366910324,0.25,-1,16,0,0.0,0.015625,64,1,0.015625,0.0,1.0,0.0014947683109118087,6.15096566146654,6.15096566146654,0.09610883846041468,14.837216000749551,0.4145633292091861,9.48091603053435,8.9375,3.0,0.0
2,template_deposition,Mo,Mo,none,0,1.0,template_site:index=44:site=Mo:neigh=3:ahead0=1.274:mode=shell,x,yz,263,261,2,0,2,54.009240031244886,31.390707421013534,500.0,0.001,83.625,0.083625,-2200.4485,-2187.6304,-2200.4485,-12.818115,-10.01123,0.9999982054181702,0.083625,0.083625,28,262,44,3,3,2.4357020539959815,11.675388188345044,15.069449007960001,14.8764501,669.0,0.0,-0.038513273,-0.61705065,25.095121470830364,0.49999999916963384,24.59512147166073,14.693930366910324,1.019659870358351,0.02391629297458894,16.696689112915845,14.02784653095416,25.095121470830364,6.07064741342255,0.5,6.728627451554395,4.0597848695927095,14.693930366910324,0.5,-1,16,0,0.0,0.03125,64,2,0.03125,0.0,1.0,0.0029895366218236174,3.3643137257771976,3.3643137257771976,0.10513480393053742,14.837216000749551,0.45349662977302996,9.475285171102662,8.9375,3.0,0.0
3,template_deposition,Mo,Mo,none,0,1.0,template_site:index=43:site=Mo:neigh=3:ahead0=1.274:mode=shell,x,yz,264,261,3,0,3,66.03880368789122,12.02956365664633,500.0,0.001,83.625,0.083625,-2211.8633,-2200.4485,-2211.8633,-11.414795,-9.6032715,1.0,0.083625,0.083625,35,263,43,2,2,2.324307336183195,11.675388188345044,11.9338900014,14.8764501,669.0,0.0,-0.055575747,-0.8904216,25.095121470830364,0.49999999916963384,24.59512147166073,14.693930366910324,1.019659870358351,0.03587443946188341,16.625058131781586,14.02784653095416,25.095121470830364,6.138091196347937,0.5,6.656996470420136,4.0597848695927095,14.693930366910324,0.75,-1,16,0,0.0,0.046875,64,3,0.046875,0.0,1.0,0.004484304932735426,2.218998823473379,2.218998823473379,0.10401556985031463,14.837216000749551,0.4486688385532593,9.469696969696969,8.9375,3.3333333333333335,0.3333333333333333
4,template_deposition,Mo,Mo,none,0,1.0,template_site:index=6:site=Mo:neigh=2:ahead0=1.274:mode=shell,x,yz,265,261,4,0,4,74.15103340621094,8.112229718319727,500.0,0.001,83.625,0.083625,-2221.316,-2211.8633,-2221.316,-9.452637,-7.8427734,1.0,0.083625,0.083625,24,264,6,1,1,2.2890978631113397,11.675388188345044,5.66277199274,14.8764501,669.0,0.0,-0.06970525,-1.1168013,25.095121470830364,0.49999999916963384,24.59512147166073,14.693930366910324,1.019659870358351,0.04783258594917788,16.57687427968804,14.028364016551961,25.095121470830364,6.183220066034984,0.5,6.608812618326592,4.060302355190512,14.693930366910324,1.0,0,16,1,0.0625,0.0625,64,4,0.0625,0.0,1.0,0.005979073243647235,1.652203154581648,1.652203154581648,0.103262697161353,14.837216000749551,0.4454213390162094,9.441509433962263,8.9375,3.0,0.25
5,template_deposition,S,S,none,0,1.0,template_site:index=12:site=S:neigh=2:ahead0=1.940:mode=shell,x,yz,266,261,5,0,5,84.14239335128242,9.991359945071482,500.0,0.001,83.625,0.083625,-2229.7517,-2221.316,-2229.7517,-8.435791,-7.2424316,0.999999995314452,0.083625,0.083625,41,265,12,4,4,2.215208686877692,12.341157297835577,7.23055099204,13.2,669.0,0.0,-0.082314804,-1.3188286,25.095121470830364,0.49999999916963384,24.59512147166073,14.693930366910324,1.019659870358351,0.059790732436472344,17.124994817332134,16.48781161481175,25.095121470830364,6.039168859913273,0.5,7.156933155970684,6.519749953450301,14.693930366910324,1.0,0,16,1,0.0625,0.078125,64,5,0.078125,0.0,1.0,0.007473841554559043,1.4313866311941368,1.4313866311941368,0.11182708056204194,14.837216000749551,0.4823636156276978,9.413533834586467,8.9375,3.6,0.4
6,template_deposition,S,S,none,0,1.0,template_site:index=61:site=S:neigh=2:ahead0=1.940:mode=shell,x,yz,267,261,6,0,6,112.84259610612543,28.700202754843012,500.0,0.001,83.625,0.083625,-2236.7766,-2229.7517,-2236.7766,-7.0249023,-6.147461,0.9998763626806711,0.083625,0.083625,45,266,61,3,3,2.604540027485751,12.341157297835577,13.501669002929999,13.2,669.0,0.0,-0.09281541,-1.4870667,25.095121470830364,0.49999999916963384,24.59512147166073,14.693930366910324,1.019659870358351,0.07174887892376682,17.397019075631547,16.487819084036285,25.095121470830364,5.949197487603696,0.5,7.428957414270098,6.519757422674836,14.693930366910324,1.0,0,16,1,0.0625,0.09375,64,6,0.09375,0.0,1.0,0.008968609865470852,1.2381595690450162,1.2381595690450162,0.11607745959797028,14.837216000749551,0.5006975307156545,9.400749063670412,8.9375,4.166666666666667,0.16666666666666666
7,template_deposition,S,S,none,0,1.0,template_site:index=60:site=S:neigh=2:ahead0=1.940:mode=shell,x,yz,268,261,7,0,7,115.11619143397374,2.273595327848318,500.0,0.001,83.625,0.083625,-2243.0806,-2236.7766,-2243.0806,-6.303955,-5.5253906,1.0,0.083625,0.083625,48,267,60,2,2,2.570194453716226,12.341157297835577,10.3661099986,13.2,669.0,0.0,-0.10223836,-1.6380391,25.095121470830364,0.49999999916963384,24.59512147166073,14.693930366910324,1.019659870358351,0.08370702541106129,17.39315462445794,16.4877599872216,25.095121470830364,5.953574848569526,0.5,7.425092963096489,6.519698325860151,14.693930366910324,1.0,0,16,1,0.0625,0.109375,64,7,0.109375,0.0,1.0,0.01046337817638266,1.0607275661566413,1.0607275661566413,0.11601707754838264,14.837216000749551,0.5004370740926994,9.380597014925373,8.9375,3.857142857142857,0.14285714285714285
8,template_deposition,S,S,none,0,1.0,template_site:index=62:site=S:neigh=1:ahead0=1.940:mode=shell,x,yz,269,261,8,0,8,133.04758146206262,17.9313900280889,500.0,0.001,83.625,0.083625,-2247.7937,-2243.0806,-2247.7937,-4.713135,-3.7521973,1.0,0.083625,0.083625,41,268,62,1,1,2.8266652486934984,12.341157297835577,16.63722800726,13.2,669.0,0.0,-0.1092834,-1.7509131,25.095121470830364,0.49999999916963384,24.59512147166073,14.693930366910324,1.019659870358351,0.09566517189835576,17.389969883734754,16.4877599872216,25.095121470830364,5.95719429727862,0.5,7.421908222373304,6.519698325860151,14.693930366910324,1.0,1,16,2,0.125,0.125,64,8,0.125,0.0,1.0,0.01195814648729447,0.927738527796663,0.927738527796663,0.11596731597458287,14.837216000749551,0.5002224286549688,9.353159851301115,8.9375,3.75,0.125
9,template_deposition,S,S,none,0,1.0,template_site:index=22:site=S:neigh=0:ahead0=2.853:mode=shell,x,yz,270,261,9,0,9,133.6898277591379,0.6422462970752614,500.0,0.001,83.625,0.083625,-2252.6328,-2247.7937,-2252.6328,-4.8391113,-3.3129883,0.9539167027965715,0.083625,0.083625,11,269,22,4,4,2.9453312848873856,13.253964172164425,5.66277199274,16.71885,669.0,0.0,-0.116516754,-1.8668042,25.095121470830364,0.49999999916963384,24.59512147166073,14.693930366910324,1.019659870358351,0.10762331838565023,17.639649365663864,16.4877599872216,25.095121470830364,5.710993198990036,0.5,7.671587704302414,6.519698325860151,14.693930366910324,1.0,1,16,2,0.125,0.140625,64,9,0.140625,0.0,1.0,0.013452914798206279,0.8523986338113794,0.8523986338113794,0.11986855787972522,14.837216000749551,0.5170503485232579,9.325925925925926,8.9375,3.6666666666666665,0.0
10,template_deposition,S,S,none,0,1.0,template_site:index=90:site=S:neigh=0:ahead0=2.853:mode=shell,x,yz,271,261,10,0,10,144.7466190548813,11.05679129574342,500.0,0.001,83.625,0.083625,-2256.74,-2252.6328,-2256.74,-4.1071777,-3.1586914,0.9849405141193414,0.083625,0.083625,16,270,90,3,3,2.9075444038951,13.253964172164425,8.79833099707,16.71885,669.0,0.0,-0.12265603,-1.9651663,25.095121470830364,0.49999999916963384,24.59512147166073,14.693930366910324,1.019659870358351,0.11958146487294469,17.931486424656683,16.4877599872216,25.095121470830364,5.404188721351128,0.5,7.963424763295233,6.519698325860151,14.693930366910324,1.0,1,16,2,0.125,0.15625,64,10,0.15625,0.0,1.0,0.014947683109118086,0.7963424763295233,0.7963424763295233,0.12442851192648802,14.837216000749551,0.5367196085096378,9.291512915129152,8.9375,3.4,0.0
