step,event_type,deposited_species,intended_species,impurity_kind,is_vacancy,species_flux,anchor_mode,growth_axis,surface_axes,n_atoms,n_initial,n_added,n_vacancies,n_growth_events,kmc_time,dt,temperature_K,flux_ML_s,n_sites,deposition_total_rate_s_inv,e_total_eV,e_before_eV,e_after_eV,delta_e_relaxed_eV,e_ads_unrelaxed_eV,chosen_boltzmann_probability,rate_s_inv,total_rate_s_inv,mobile_count,added_index,anchor_index,n_surface_anchors,n_tested_candidates,min_distance_A,x_event_A,y_event_A,z_event_A,surface_area_A2,gamma_initial_eV_A2,gamma_effective_eV_A2,gamma_effective_J_m2,top_coord_A,bottom_coord_A,slab_thickness_A,growth_height_A,roughness_A,coverage_estimate_ML,front_mean_A,front_median_A,front_p90_A,front_grid_rms_A,front_grid_occupied_fraction,growth_front_mean_A,growth_front_median_A,growth_front_p90_A,first_template_layer_occupancy,highest_90pct_complete_layer,n_template_layers,contiguous_90pct_complete_layers,contiguous_complete_layer_fraction,mean_template_layer_occupancy,n_template_growth_sites,n_occupied_template_growth_sites,template_growth_occupancy_fraction,frozen_vacancy_fraction_of_template,incorporation_efficiency_per_event,added_areal_density_atoms_A2,growth_front_mean_per_event_A,growth_front_mean_per_added_atom_A,growth_front_mean_per_template_site_A,template_growth_extent_A,growth_front_mean_fraction_of_template,coordination_mean,coordination_surface_mean,coordination_added_mean,fraction_added_CN4
1,template_deposition,C,C,none,0,1.0,template_site:index=231:site=C:neigh=1:ahead0=1.420:mode=shell,y,xz,222,221,1,0,1,29.559926750065884,29.559926750065884,500.0,0.001,63.987803674999995,0.063987803675,-1917.8589,-1910.0922,-1917.8589,-7.7667236,-7.7667236,0.4978481033647285,0.063987803675,0.063987803675,0,221,231,11,11,1.4199999996689978,25.095121470830364,23.219999998858995,10.0,511.90242939999996,0.0,-0.015172273,-0.24308662,23.219999998858995,0.5000000008100001,22.719999998048994,1.4199999996689954,0.5041161151911022,0.01562797818595389,21.977499999148623,21.79999999919,22.2259999990907,0.46962085760449535,0.125,0.17749999995862353,0.0,0.42599999990070003,0.09090909090909091,-1,50,0,0.0,0.0018181818181818182,525,1,0.0019047619047619048,0.0,1.0,0.001953497273244236,0.17749999995862353,0.17749999995862353,0.0003380952380164258,53.24999999595011,0.0033333333328098244,2.7567567567567566,2.3636363636363638,1.0,0.0
2,template_deposition,C,C,none,0,1.0,template_site:index=221:site=C:neigh=1:ahead0=1.420:mode=shell,y,xz,223,221,2,0,2,70.58411819465928,41.0241914445934,500.0,0.001,63.987803674999995,0.063987803675,-1926.1663,-1917.8589,-1926.1663,-8.307373,-7.7666016,0.9769036370671824,0.063987803675,0.063987803675,5,222,221,10,10,1.4199999996689978,0.49999999916963384,23.219999998858995,10.0,511.90242939999996,0.0,-0.031400703,-0.50309473,23.219999998858995,0.5000000008100001,22.719999998048994,1.4199999996689954,0.5951178164966009,0.03125595637190778,22.148780047706015,21.79999999919,23.185168271012095,0.604232834187484,0.125,0.34878004851601574,0.0,1.3851682718220957,0.18181818181818182,-1,50,0,0.0,0.0036363636363636364,525,2,0.0038095238095238095,0.0,1.0,0.003906994546488472,0.17439002425800787,0.17439002425800787,0.0006643429495543157,53.24999999595011,0.006549860066526609,2.7533632286995515,2.347826086956522,1.0,0.0
3,template_deposition,C,C,none,0,1.0,template_site:index=230:site=C:neigh=1:ahead0=1.420:mode=shell,y,xz,224,221,3,0,3,86.30543074191401,15.721312547254724,500.0,0.001,63.987803674999995,0.063987803675,-1934.2587,-1926.1663,-1934.2587,-8.092407,-7.5897217,0.7404036160825711,0.063987803675,0.063987803675,9,223,230,9,9,1.4199999996689978,22.635609322640487,23.219999998858995,10.0,511.90242939999996,0.0,-0.0472092,-0.7563748,23.198260834112844,0.5000000008100001,22.698260833302843,1.3982608349228443,0.6586360219614206,0.04688393455786167,22.141501797722505,21.79999999919,23.17864652158825,0.6021872161725866,0.125,0.34150179853250506,0.0,1.378646522398249,0.2727272727272727,-1,50,0,0.0,0.005454545454545454,525,3,0.005714285714285714,0.0,1.0,0.005860491819732709,0.11383393284416836,0.11383393284416836,0.0006504796162523906,53.24999999595011,0.006413179315652164,2.75,2.3333333333333335,1.0,0.0
4,template_deposition,C,C,none,0,1.0,template_site:index=224:site=C:neigh=1:ahead0=1.420:mode=shell,y,xz,225,221,4,0,4,96.9072200085072,10.601789266593189,500.0,0.001,63.987803674999995,0.063987803675,-1941.8748,-1934.2587,-1941.8748,-7.616089,-7.463867,0.1754317831218083,0.063987803675,0.063987803675,8,224,224,8,8,1.4199999996689978,7.878536441179756,23.219999998858995,10.0,511.90242939999996,0.0,-0.062087208,-0.99474674,23.20544940963577,0.5000000008100001,22.705449408825768,1.4054494104457689,0.7101544423478517,0.06251191274381555,22.30873456118698,21.79999999919,23.20041740676972,0.683841323173607,0.125,0.508734561996981,0.0,1.4004174075797202,0.36363636363636365,-1,50,0,0.0,0.007272727272727273,525,4,0.007619047619047619,0.0,1.0,0.007813989092976944,0.12718364049924524,0.12718364049924524,0.0009690182133275828,53.24999999595011,0.009553700695505585,2.7466666666666666,2.32,1.0,0.0
5,template_deposition,C,C,none,0,1.0,template_site:index=226:site=C:neigh=1:ahead0=1.420:mode=shell,y,xz,226,221,5,0,5,109.9648251679267,13.057605159419513,500.0,0.001,63.987803674999995,0.063987803675,-1949.4496,-1941.8748,-1949.4496,-7.574829,-7.4622803,0.3099973507238289,0.063987803675,0.063987803675,8,225,226,7,7,1.4199999996689978,12.797560735,23.219999998858995,10.0,511.90242939999996,0.0,-0.07688461,-1.2318274,23.20546730279069,0.5000000008100001,22.70546730198069,1.405467303600691,0.7503575633730796,0.07813989092976945,22.48455967383586,22.48512019341957,23.205454777582244,0.7104473158754437,0.125,0.6845596746458611,0.6851201942295688,1.4054547783922438,0.45454545454545453,-1,50,0,0.0,0.00909090909090909,525,5,0.009523809523809525,0.0,1.0,0.00976748636622118,0.13691193492917222,0.13691193492917222,0.0013039231898016401,53.24999999595011,0.012855580745500934,2.743362831858407,2.3076923076923075,1.0,0.0
6,template_deposition,C,C,none,0,1.0,template_site:index=228:site=C:neigh=1:ahead0=1.420:mode=shell,y,xz,227,221,6,0,6,147.47282384160906,37.50799867368236,500.0,0.001,63.987803674999995,0.063987803675,-1956.9855,-1949.4496,-1956.9855,-7.5358887,-7.462036,0.8278370526918436,0.063987803675,0.063987803675,8,226,228,6,6,1.4199999996689978,17.716585028820244,23.219999998858995,10.0,511.90242939999996,0.0,-0.091605954,-1.4676893,23.20546730279069,0.5000000008100001,22.70546730198069,1.405467303600691,0.782025782817022,0.09376786911572334,22.660611588111458,23.18425061088099,23.205454777582244,0.692437126338242,0.125,0.8606115889214578,1.384250611690991,1.4054547783922438,0.5454545454545454,-1,50,0,0.0,0.010909090909090908,525,6,0.011428571428571429,0.0,1.0,0.011720983639465417,0.14343526482024296,0.14343526482024296,0.0016392601693742054,53.24999999595011,0.016161719980974855,2.7400881057268722,2.2962962962962963,1.0,0.0
7,template_deposition,C,C,none,0,1.0,template_site:index=222:site=C:neigh=1:ahead0=1.420:mode=shell,y,xz,228,221,7,0,7,150.44416210252203,2.971338260912979,500.0,0.001,63.987803674999995,0.063987803675,-1964.5398,-1956.9855,-1964.5398,-7.5543213,-7.345825,0.3344778977022264,0.063987803675,0.063987803675,9,227,222,5,5,1.4629953277066712,2.959512147359512,23.219999998858995,10.0,511.90242939999996,0.0,-0.1063633,-1.7041279,23.20546730279069,0.5000000008100001,22.70546730198069,1.405467303600691,0.8079531060969821,0.10939584730167722,22.663241562205492,23.19567147499744,23.205454777582244,0.69486721153752,0.125,0.8632415630154924,1.3956714758074398,1.4054547783922438,0.6363636363636364,-1,50,0,0.0,0.012727272727272728,525,7,0.013333333333333334,0.0,1.0,0.013674480912709652,0.12332022328792748,0.12332022328792748,0.0016442696438390332,53.24999999595011,0.016211109165843108,2.736842105263158,2.2857142857142856,1.0,0.0
8,template_deposition,C,C,none,0,1.0,template_site:index=227:site=C:neigh=1:ahead0=1.420:mode=shell,y,xz,229,221,8,0,8,173.87851060298155,23.434348500459517,500.0,0.001,63.987803674999995,0.063987803675,-1972.0979,-1964.5398,-1972.0979,-7.5581055,-7.326416,0.40473697191800745,0.063987803675,0.063987803675,10,228,227,4,4,1.4540378573082715,15.257072883189878,23.219999998858995,10.0,511.90242939999996,0.0,-0.12112804,-1.9406852,23.21516811425082,0.5000000008100001,22.715168113440818,1.415168115060819,0.8302652393351988,0.1250238254876311,22.66558631784295,23.19567147499744,23.214469764430913,0.6967057723358684,0.125,0.8655863186529515,1.3956714758074398,1.4144697652409128,0.7272727272727273,-1,50,0,0.0,0.014545454545454545,525,8,0.015238095238095238,0.0,1.0,0.01562797818595389,0.10819828983161894,0.10819828983161894,0.001648735845053241,53.24999999595011,0.016255142135564,2.7336244541484715,2.2758620689655173,1.0,0.0
9,template_deposition,C,C,none,0,1.0,template_site:index=225:site=C:neigh=1:ahead0=1.420:mode=shell,y,xz,230,221,9,0,9,174.71785565795025,0.8393450549686919,500.0,0.001,63.987803674999995,0.063987803675,-1979.5969,-1972.0979,-1979.5969,-7.4990234,-7.2702637,0.4438244442539202,0.063987803675,0.063987803675,10,229,225,3,3,1.4538973775291404,10.338048586810121,23.219999998858995,10.0,511.90242939999996,0.0,-0.13577735,-2.175393,23.220378285990307,0.5000000008100001,22.720378285180306,1.4203782868003074,0.8480734370006273,0.14065180367358499,22.84796903559594,23.20443134324783,23.216478109619917,0.6246007037125757,0.125,1.0479690364059415,1.40443134405783,1.4164781104299173,0.8181818181818182,-1,50,0,0.0,0.016363636363636365,525,9,0.017142857142857144,0.0,1.0,0.017581475459198123,0.11644100404510462,0.11644100404510462,0.001996131497916079,53.24999999595011,0.01968016969926092,2.7304347826086954,2.2666666666666666,1.0,0.0
10,template_deposition,C,C,none,0,1.0,template_site:index=223:site=C:neigh=1:ahead0=1.420:mode=shell,y,xz,231,221,10,0,10,189.167862049837,14.450006391886737,500.0,0.001,63.987803674999995,0.063987803675,-1986.9916,-1979.5969,-1986.9916,-7.3946533,-7.2139893,0.5367642751718544,0.063987803675,0.063987803675,10,230,223,2,2,1.4543645691478975,5.419024292989877,23.219999998858995,10.0,511.90242939999996,0.0,-0.1502228,-2.4068346,23.220985463721707,0.5000000008100001,22.720985462911706,1.4209854645317073,0.8623764944567074,0.1562797818595389,23.030087325060315,23.210752338037338,23.220560439309725,0.4775391069278471,0.125,1.2300873258703149,1.4107523388473382,1.4205604401197256,0.9090909090909091,0,50,1,0.02,0.01818181818181818,525,10,0.01904761904761905,0.0,1.0,0.01953497273244236,0.12300873258703149,0.12300873258703149,0.002343023477848219,53.24999999595011,0.023100231473499874,2.727272727272727,2.2580645161290325,1.0,0.0
