step,event_type,deposited_species,intended_species,impurity_kind,is_vacancy,species_flux,anchor_mode,growth_axis,surface_axes,n_atoms,n_initial,n_added,n_vacancies,n_growth_events,kmc_time,dt,temperature_K,flux_ML_s,n_sites,deposition_total_rate_s_inv,e_total_eV,e_before_eV,e_after_eV,delta_e_relaxed_eV,e_ads_unrelaxed_eV,chosen_boltzmann_probability,rate_s_inv,total_rate_s_inv,mobile_count,added_index,anchor_index,n_surface_anchors,n_tested_candidates,min_distance_A,x_event_A,y_event_A,z_event_A,surface_area_A2,gamma_initial_eV_A2,gamma_effective_eV_A2,gamma_effective_J_m2,top_coord_A,bottom_coord_A,slab_thickness_A,growth_height_A,roughness_A,coverage_estimate_ML,front_mean_A,front_median_A,front_p90_A,front_grid_rms_A,front_grid_occupied_fraction,growth_front_mean_A,growth_front_median_A,growth_front_p90_A,first_template_layer_occupancy,highest_90pct_complete_layer,n_template_layers,contiguous_90pct_complete_layers,contiguous_complete_layer_fraction,mean_template_layer_occupancy,n_template_growth_sites,n_occupied_template_growth_sites,template_growth_occupancy_fraction,frozen_vacancy_fraction_of_template,incorporation_efficiency_per_event,added_areal_density_atoms_A2,growth_front_mean_per_event_A,growth_front_mean_per_added_atom_A,growth_front_mean_per_template_site_A,template_growth_extent_A,growth_front_mean_fraction_of_template,coordination_mean,coordination_surface_mean,coordination_added_mean,fraction_added_CN4
1,template_deposition,C,C,none,0,1.0,template_site:index=226:site=C:neigh=1:ahead0=1.230:mode=shell,x,yz,222,221,1,0,1,33.927798915347026,33.927798915347026,500.0,0.001,55.75,0.05575,-1904.3545,-1897.4658,-1904.3545,-6.888672,-6.888672,0.1513345303206598,0.05575,0.05575,0,221,226,10,10,1.4199999999311124,26.324877544413397,15.409999999230001,10.0,446.0,0.0,-0.015445452,-0.24746343,26.324877544413397,0.49999999916963384,25.824877545243762,1.229756073583033,0.7092661506297008,0.017937219730941704,25.24884098002824,25.095121470830364,25.464048292905275,0.4067035929964941,0.125,0.15371950919787736,0.0,0.36892682207491134,0.1,-1,50,0,0.0,0.002,525,1,0.0019047619047619048,0.0,1.0,0.002242152466367713,0.15371950919787736,0.15371950919787736,0.000292799065138814,61.48780367915167,0.0024999999999999706,2.855855855855856,2.4545454545454546,1.0,0.0
2,template_deposition,C,C,none,0,1.0,template_site:index=225:site=C:neigh=2:ahead0=1.230:mode=shell,x,yz,223,221,2,0,2,81.01386004686734,47.0860611315203,500.0,0.001,55.75,0.05575,-1915.6913,-1904.3545,-1915.6913,-11.336792,-10.852051,1.0,0.05575,0.05575,10,222,225,9,9,1.4199999999311124,26.324877544413397,16.83000000046,10.0,446.0,0.0,-0.04086427,-0.6547178,26.299497110297885,0.49999999916963384,25.79949711112825,1.2043756394675214,0.7729294599476559,0.03587443946188341,25.390834869470712,25.095121470830364,26.299354736800453,0.5247398757998066,0.125,0.2957133986403484,0.0,1.204233265970089,0.2,-1,50,0,0.0,0.004,525,2,0.0038095238095238095,0.0,1.0,0.004484304932735426,0.1478566993201742,0.1478566993201742,0.0005632636164578065,61.48780367915167,0.004809301697998596,2.8609865470852016,2.5217391304347827,2.0,0.0
3,template_deposition,C,C,none,0,1.0,template_site:index=228:site=C:neigh=1:ahead0=1.230:mode=shell,x,yz,224,221,3,0,3,99.05820553183683,18.044345484969494,500.0,0.001,55.75,0.05575,-1923.3811,-1915.6913,-1923.3811,-7.6898193,-7.3155518,0.9822673652873362,0.05575,0.05575,10,223,228,8,8,1.4550893925890165,26.324877544413397,12.569999999,10.0,446.0,0.0,-0.058106016,-0.930961,26.299497110297885,0.49999999916963384,25.79949711112825,1.2043756394675214,0.8206394582842124,0.053811659192825115,25.54223753437417,25.095121470830364,26.29289247392894,0.5782194512414962,0.125,0.44711606354380606,0.0,1.1977710030985769,0.3,-1,50,0,0.0,0.006,525,3,0.005714285714285714,0.0,1.0,0.006726457399103139,0.14903868784793536,0.14903868784793536,0.0008516496448453449,61.48780367915167,0.007271621960623181,2.857142857142857,2.5,1.6666666666666667,0.0
4,template_deposition,C,C,none,0,1.0,template_site:index=227:site=C:neigh=2:ahead0=1.230:mode=shell,x,yz,225,221,4,0,4,111.22655010931642,12.16834457747959,500.0,0.001,55.75,0.05575,-1934.3376,-1923.3811,-1934.3376,-10.956543,-10.619019,1.0,0.05575,0.05575,10,224,227,7,7,1.3671999214537707,26.324877544413397,11.15,10.0,446.0,0.0,-0.08267225,-1.3245555,26.30519954728242,0.49999999916963384,25.805199548112785,1.2100780764520565,0.8603754498728275,0.07174887892376682,25.549071677688303,25.113020666995304,26.301207841393246,0.5769652920432476,0.125,0.4539502068579395,0.01789919616494018,1.2060863705628826,0.4,-1,50,0,0.0,0.008,525,4,0.007619047619047619,0.0,1.0,0.008968609865470852,0.11348755171448488,0.11348755171448488,0.0008646670606817895,61.48780367915167,0.007382768284043587,2.862222222222222,2.56,2.0,0.0
5,template_deposition,C,C,none,0,1.0,template_site:index=221:site=C:neigh=1:ahead0=1.230:mode=shell,x,yz,226,221,5,0,5,126.21359002692364,14.987039917607225,500.0,0.001,55.75,0.05575,-1942.0377,-1934.3376,-1942.0377,-7.7000732,-7.3032227,0.973616618995254,0.05575,0.05575,10,225,221,6,6,1.46843941978412,26.324877544413397,8.30999999977,10.0,446.0,0.0,-0.09993699,-1.6011672,26.299497110297885,0.49999999916963384,25.79949711112825,1.2043756394675214,0.8891093973027423,0.08968609865470852,25.690538176455295,25.702663875421962,26.29192224963453,0.5975294366086202,0.125,0.5954167056249311,0.607542404591598,1.1968007788041675,0.5,-1,50,0,0.0,0.01,525,5,0.009523809523809525,0.0,1.0,0.011210762331838564,0.11908334112498623,0.11908334112498623,0.0011341270583332022,61.48780367915167,0.00968349282293223,2.8584070796460175,2.5384615384615383,1.8,0.0
6,template_deposition,C,C,none,0,1.0,template_site:index=222:site=C:neigh=2:ahead0=1.230:mode=shell,x,yz,227,221,6,0,6,169.26389415918817,43.05030413226452,500.0,0.001,55.75,0.05575,-1952.992,-1942.0377,-1952.992,-10.954224,-10.614868,1.0,0.05575,0.05575,10,226,222,5,5,1.371228033452841,26.324877544413397,6.890000000770001,10.0,446.0,0.0,-0.12449803,-1.9946784,26.30510003139126,0.49999999916963384,25.805100032221624,1.209978560560895,0.9137672110217615,0.10762331838565023,25.69272304433592,25.70338246806042,26.3011779866259,0.6000881378955275,0.125,0.5976015735055569,0.6082609972300546,1.2060565157955345,0.6,-1,50,0,0.0,0.012,525,6,0.011428571428571429,0.0,1.0,0.013452914798206279,0.09960026225092615,0.09960026225092615,0.001138288711439156,61.48780367915167,0.009719026176701484,2.8634361233480177,2.5925925925925926,2.0,0.0
7,template_deposition,C,C,none,0,1.0,template_site:index=224:site=C:neigh=1:ahead0=1.230:mode=shell,x,yz,228,221,7,0,7,172.67428715096065,3.4103929917724773,500.0,0.001,55.75,0.05575,-1965.2451,-1952.992,-1965.2451,-12.253174,-7.173218,0.6457984893760644,0.05575,0.05575,10,227,224,4,4,1.4700811670630174,26.324877544413397,4.05000000054,10.0,446.0,0.0,-0.15197152,-2.4348521,26.299497110297885,0.49999999916963384,25.79949711112825,1.2043756394675214,0.9336471320288375,0.12556053811659193,25.852871208955452,26.282573449111606,26.298345805846644,0.5668701835878485,0.125,0.7577497381250886,1.187451978281242,1.2032243350162801,0.7,-1,50,0,0.0,0.013999999999999999,525,7,0.013333333333333334,0.0,1.0,0.01569506726457399,0.10824996258929838,0.10824996258929838,0.0014433328345239782,61.48780367915167,0.012323577893253237,2.8596491228070176,2.5714285714285716,1.8571428571428572,0.0
8,template_deposition,C,C,none,0,1.0,template_site:index=223:site=C:neigh=2:ahead0=1.230:mode=shell,x,yz,229,221,8,0,8,199.571372193094,26.897085042133348,500.0,0.001,55.75,0.05575,-1975.9786,-1965.2451,-1975.9786,-10.7335205,-10.016846,1.0,0.05575,0.05575,10,228,223,3,3,1.3373183468244145,26.324877544413397,2.62999999931,10.0,446.0,0.0,-0.17603771,-2.8204353,26.348067811888946,0.49999999916963384,25.84806781271931,1.252946341058582,0.9514455367851736,0.14349775784753363,25.995849074051087,26.282573449111606,26.314068320775203,0.5230851575721365,0.125,0.900727603220723,1.187451978281242,1.2189468499448388,0.8,-1,50,0,0.0,0.016,525,8,0.015238095238095238,0.0,1.0,0.017937219730941704,0.11259095040259037,0.11259095040259037,0.0017156716251823295,61.48780367915167,0.014648882368945758,2.8646288209606987,2.6206896551724137,2.0,0.0
9,template_deposition,C,C,none,0,1.0,template_site:index=229:site=C:neigh=1:ahead0=1.230:mode=shell,x,yz,230,221,9,0,9,200.5347416387069,0.9633694456128922,500.0,0.001,55.75,0.05575,-1983.7164,-1975.9786,-1983.7164,-7.737793,-7.2211914,1.0,0.05575,0.05575,10,229,229,2,2,1.4450279539748245,26.324877544413397,19.67000000069,10.0,446.0,0.0,-0.19338702,-3.0984015,26.348067811888946,0.49999999916963384,25.84806781271931,1.252946341058582,0.9618189617526748,0.16143497757847533,26.149491966587746,26.286244364231493,26.31229537727994,0.3858261177119447,0.125,1.0543704957573823,1.191122893401129,1.2171739064495775,0.9,0,50,1,0.02,0.018000000000000002,525,9,0.017142857142857144,0.0,1.0,0.020179372197309416,0.11715227730637581,0.11715227730637581,0.0020083247538235853,61.48780367915167,0.017147636322467668,2.860869565217391,2.6,1.8888888888888888,0.0
10,template_deposition,C,C,none,0,1.0,template_site:index=230:site=C:neigh=2:ahead0=1.230:mode=shell,x,yz,231,221,10,0,10,217.11992858232202,16.58518694361513,500.0,0.001,55.75,0.05575,-1998.2296,-1983.7164,-1998.2296,-14.513184,-9.450806,1.0,0.05575,0.05575,11,230,230,1,1,1.3795416183483302,26.324877544413397,21.08999999969,10.0,446.0,0.0,-0.22592779,-3.6197622,26.35412293267237,0.49999999916963384,25.854122933502737,1.2590014618420078,0.9696158231643112,0.17937219730941703,26.1551922160397,26.286244364231493,26.341794725897522,0.3883143001925465,0.125,1.0600707452093374,1.191122893401129,1.246673255067158,1.0,0,50,1,0.02,0.02,525,10,0.01904761904761905,0.0,1.0,0.02242152466367713,0.10600707452093375,0.10600707452093375,0.0020191823718273094,61.48780367915167,0.017240341690213434,2.865800865800866,2.6451612903225805,2.0,0.0
