vacancy_index,step,intended_species,x_A,y_A,z_A,anchor_mode,anchor_index
1,2,C,26.324877544413397,16.83000000046,10.0,template_site:index=225:site=C:neigh=2:ahead0=1.230:mode=shell,225
2,3,C,26.324877544413397,12.569999999,10.0,template_site:index=228:site=C:neigh=1:ahead0=1.230:mode=shell,228
3,8,C,26.324877544413397,2.62999999931,10.0,template_site:index=223:site=C:neigh=2:ahead0=1.230:mode=shell,223
4,12,C,27.55463361799643,4.760000000040001,10.0,template_site:index=235:site=C:neigh=1:ahead0=2.460:mode=shell,235
5,27,C,28.784389691579467,4.05000000054,10.0,template_site:index=245:site=C:neigh=1:ahead0=3.689:mode=shell,245
6,44,C,31.24390183874554,2.62999999931,10.0,template_site:index=265:site=C:neigh=2:ahead0=6.149:mode=shell,265
7,61,C,32.47365791232857,17.539999999960003,10.0,template_site:index=280:site=C:neigh=2:ahead0=7.379:mode=shell,280
8,99,C,37.39268220666071,10.440000000500001,10.0,template_site:index=315:site=C:neigh=1:ahead0=12.298:mode=shell,315
9,116,C,39.852194353826775,10.440000000500001,10.0,template_site:index=336:site=C:neigh=1:ahead0=14.757:mode=shell,336
10,117,C,39.852194353826775,6.17999999904,10.0,template_site:index=341:site=C:neigh=1:ahead0=14.757:mode=shell,341
11,119,C,39.852194353826775,18.95999999896,10.0,template_site:index=342:site=C:neigh=2:ahead0=14.757:mode=shell,342
12,123,C,39.852194353826775,4.760000000040001,10.0,template_site:index=340:site=C:neigh=1:ahead0=14.757:mode=shell,340
13,126,C,39.852194353826775,13.28000000073,10.0,template_site:index=344:site=C:neigh=2:ahead0=14.757:mode=shell,344
14,145,C,42.31170650099284,13.28000000073,10.0,template_site:index=365:site=C:neigh=1:ahead0=17.217:mode=shell,365
15,156,C,43.541462574575874,11.15,10.0,template_site:index=374:site=C:neigh=1:ahead0=18.446:mode=shell,374
16,169,C,46.00097472174194,12.569999999,10.0,template_site:index=396:site=C:neigh=2:ahead0=20.906:mode=shell,396
17,181,C,47.23073079532497,4.760000000040001,10.0,template_site:index=403:site=C:neigh=2:ahead0=22.136:mode=shell,403
18,209,C,50.91999901607407,19.67000000069,10.0,template_site:index=439:site=C:neigh=2:ahead0=25.825:mode=shell,439
19,214,C,50.91999901607407,11.15,10.0,template_site:index=437:site=C:neigh=1:ahead0=25.825:mode=shell,437
20,216,C,50.91999901607407,16.83000000046,10.0,template_site:index=435:site=C:neigh=1:ahead0=25.825:mode=shell,435
21,234,C,53.37951116324014,16.83000000046,10.0,template_site:index=456:site=C:neigh=1:ahead0=28.284:mode=shell,456
22,253,C,55.839023310406205,6.890000000770001,10.0,template_site:index=474:site=C:neigh=1:ahead0=30.744:mode=shell,474
23,257,C,55.839023310406205,19.67000000069,10.0,template_site:index=481:site=C:neigh=1:ahead0=30.744:mode=shell,481
24,270,C,58.29853545757227,6.890000000770001,10.0,template_site:index=495:site=C:neigh=1:ahead0=33.203:mode=shell,495
25,274,C,58.29853545757227,12.569999999,10.0,template_site:index=501:site=C:neigh=2:ahead0=33.203:mode=shell,501
26,297,C,60.75804760473834,4.05000000054,10.0,template_site:index=518:site=C:neigh=2:ahead0=35.663:mode=shell,518
27,307,C,61.98780367832137,9.01999999927,10.0,template_site:index=526:site=C:neigh=2:ahead0=36.893:mode=shell,526
28,314,C,63.2175597519044,15.409999999230001,10.0,template_site:index=541:site=C:neigh=1:ahead0=38.122:mode=shell,541
29,321,C,64.44731582548744,18.95999999896,10.0,template_site:index=552:site=C:neigh=2:ahead0=39.352:mode=shell,552
30,322,C,64.44731582548744,9.01999999927,10.0,template_site:index=547:site=C:neigh=1:ahead0=39.352:mode=shell,547
31,332,C,65.67707189907047,11.15,10.0,template_site:index=563:site=C:neigh=1:ahead0=40.582:mode=shell,563
32,339,C,66.9068279726535,9.01999999927,10.0,template_site:index=568:site=C:neigh=1:ahead0=41.812:mode=shell,568
33,356,C,68.13658404623654,12.569999999,10.0,template_site:index=585:site=C:neigh=1:ahead0=43.041:mode=shell,585
34,371,C,70.5960961934026,12.569999999,10.0,template_site:index=606:site=C:neigh=1:ahead0=45.501:mode=shell,606
35,377,C,70.5960961934026,2.62999999931,10.0,template_site:index=601:site=C:neigh=2:ahead0=45.501:mode=shell,601
36,380,C,70.5960961934026,16.83000000046,10.0,template_site:index=603:site=C:neigh=1:ahead0=45.501:mode=shell,603
37,405,C,74.2853644141517,21.79999999919,10.0,template_site:index=640:site=C:neigh=1:ahead0=49.190:mode=shell,640
38,407,C,74.2853644141517,17.539999999960003,10.0,template_site:index=637:site=C:neigh=2:ahead0=49.190:mode=shell,637
39,421,C,75.51512048773473,12.569999999,10.0,template_site:index=648:site=C:neigh=2:ahead0=50.420:mode=shell,648
40,424,C,76.74487656131777,6.17999999904,10.0,template_site:index=656:site=C:neigh=1:ahead0=51.650:mode=shell,656
41,479,C,82.89365692923293,11.15,10.0,template_site:index=710:site=C:neigh=2:ahead0=57.799:mode=shell,710
42,483,C,82.89365692923293,2.62999999931,10.0,template_site:index=706:site=C:neigh=2:ahead0=57.799:mode=shell,706
43,496,C,85.353169076399,4.05000000054,10.0,template_site:index=728:site=C:neigh=2:ahead0=60.258:mode=shell,728
