step,event_type,deposited_species,intended_species,impurity_kind,is_vacancy,species_flux,anchor_mode,growth_axis,surface_axes,n_atoms,n_initial,n_added,n_vacancies,n_growth_events,kmc_time,dt,temperature_K,flux_ML_s,n_sites,deposition_total_rate_s_inv,e_total_eV,e_before_eV,e_after_eV,delta_e_relaxed_eV,e_ads_unrelaxed_eV,chosen_boltzmann_probability,rate_s_inv,total_rate_s_inv,mobile_count,added_index,anchor_index,n_surface_anchors,n_tested_candidates,min_distance_A,x_event_A,y_event_A,z_event_A,surface_area_A2,gamma_initial_eV_A2,gamma_effective_eV_A2,gamma_effective_J_m2,top_coord_A,bottom_coord_A,slab_thickness_A,growth_height_A,roughness_A,coverage_estimate_ML,front_mean_A,front_median_A,front_p90_A,front_grid_rms_A,front_grid_occupied_fraction,growth_front_mean_A,growth_front_median_A,growth_front_p90_A,first_template_layer_occupancy,highest_90pct_complete_layer,n_template_layers,contiguous_90pct_complete_layers,contiguous_complete_layer_fraction,mean_template_layer_occupancy,n_template_growth_sites,n_occupied_template_growth_sites,template_growth_occupancy_fraction,frozen_vacancy_fraction_of_template,incorporation_efficiency_per_event,added_areal_density_atoms_A2,growth_front_mean_per_event_A,growth_front_mean_per_added_atom_A,growth_front_mean_per_template_site_A,template_growth_extent_A,growth_front_mean_fraction_of_template,coordination_mean,coordination_surface_mean,coordination_added_mean,fraction_added_CN4
1,template_deposition,C,C,none,0,1.0,template_site:index=148:site=C:neigh=0:ahead0=4.343:mode=shell,z,xy,129,128,1,0,1,179.32741769392422,179.32741769392422,500.0,0.001,10.547605122820443,0.010547605122820443,-1177.3055,-1175.3203,-1177.3055,-1.9852295,-1.9852295,0.03411269349491443,0.010547605122820443,0.010547605122820443,0,128,148,32,32,4.342518999999994,0.0,0.0,44.54133549999998,84.38084098256354,0.0,-0.023527017,-0.37694436,44.54133549999998,27.171259499999998,17.370075999999983,4.342518999999996,0.0,0.0948082515751783,38.68398429069767,40.198816499999985,40.198816499999985,2.2716871957046623,0.671875,0.10098881395349935,0.0,0.0,0.03125,-1,50,0,0.0,0.000625,1600,1,0.000625,0.0,1.0,0.011851031446897288,0.10098881395349935,0.10098881395349935,6.311800872093709e-05,217.1259499999994,0.0004651162790698193,2.9767441860465116,0.0,0.0,0.0
2,template_deposition,C,C,none,0,1.0,template_site:index=149:site=C:neigh=1:ahead0=4.343:mode=shell,z,xy,130,128,2,0,2,428.20362016028236,248.87620246635814,500.0,0.001,10.547605122820443,0.010547605122820443,-1185.8699,-1177.3055,-1185.8699,-8.564331,-8.332642,0.3333333333333333,0.010547605122820443,0.010547605122820443,2,129,149,31,31,1.4247418808917418,1.233863279618482,0.7123698718896396,44.54133549999998,84.38084098256354,0.0,-0.12502317,-2.003092,44.548324991755884,27.171259499999998,17.377065491755886,4.349508491755898,0.0004607865558661217,0.1896165031503566,38.88626557931162,40.198816499999985,40.198816499999985,2.3948128768725097,0.671875,0.3032701025674456,0.0,0.0,0.0625,-1,50,0,0.0,0.00125,1600,2,0.00125,0.0,1.0,0.023702062893794576,0.1516350512837228,0.1516350512837228,0.00018954381410465348,217.1259499999994,0.0013967473835690594,2.9692307692307693,1.0,1.0,0.0
3,template_deposition,C,C,none,0,1.0,template_site:index=155:site=C:neigh=1:ahead0=4.343:mode=shell,z,xy,131,128,3,0,3,523.5780913386318,95.37447117834945,500.0,0.001,10.547605122820443,0.010547605122820443,-1193.9214,-1185.8699,-1193.9214,-8.051514,-7.4558105,0.24398075307451725,0.010547605122820443,0.010547605122820443,3,130,155,30,30,1.4523731196654364,2.46772428,0.0,44.54133549999998,84.38084098256354,0.0,-0.22044191,-3.5318687,44.55824194095244,27.171259499999998,17.386982440952444,4.359425440952457,0.006089884269644536,0.2844247547255349,38.98765946661591,40.198816499999985,40.198816499999985,2.536353482992939,0.671875,0.4046639898717359,0.0,0.0,0.09375,-1,50,0,0.0,0.001875,1600,3,0.001875,0.0,1.0,0.035553094340691864,0.13488799662391196,0.13488799662391196,0.0002529149936698349,217.1259499999994,0.001863729277277714,2.9618320610687023,1.3333333333333333,1.3333333333333333,0.0
4,template_deposition,C,C,none,0,1.0,template_site:index=133:site=C:neigh=1:ahead0=4.343:mode=shell,z,xy,132,128,4,0,4,587.8946070116309,64.31651567299916,500.0,0.001,10.547605122820443,0.010547605122820443,-1202.1309,-1193.9214,-1202.1309,-8.209473,-7.6381836,0.2404429729587827,0.010547605122820443,0.010547605122820443,4,131,133,29,29,1.372925278432876,8.637036119618482,0.7123698718896396,44.54133549999998,84.38084098256354,0.0,-0.31773263,-5.090638,44.55816501609515,27.171259499999998,17.386905516095155,4.359348516095167,0.005066721542204134,0.3792330063007132,39.189881592495105,40.198816499999985,40.198816499999985,2.623769529843232,0.671875,0.6068861157509318,0.0,0.0,0.125,-1,50,0,0.0,0.0025,1600,4,0.0025,0.0,1.0,0.04740412578758915,0.15172152893773294,0.15172152893773294,0.00037930382234433233,217.1259499999994,0.0027950879005984013,2.9545454545454546,1.5,1.5,0.0
5,template_deposition,C,C,none,0,1.0,template_site:index=154:site=C:neigh=1:ahead0=4.343:mode=shell,z,xy,133,128,5,0,5,667.1095060979537,79.2148990863228,500.0,0.001,10.547605122820443,0.010547605122820443,-1210.0531,-1202.1309,-1210.0531,-7.922241,-7.5892334,0.9993444093137069,0.010547605122820443,0.010547605122820443,4,132,154,28,28,1.3507841984781583,3.7015875596184826,0.7123698718896396,44.54133549999998,84.38084098256354,0.0,-0.41161934,-6.594869,44.55442903283172,27.171259499999998,17.383169532831722,4.355612532831735,0.0023801477691588312,0.4740412578758915,39.3919685191012,40.198816499999985,43.677643659926034,2.692964909577378,0.671875,0.8089730423570245,0.0,3.4788271599260483,0.15625,-1,50,0,0.0,0.003125,1600,5,0.003125,0.0,1.0,0.05925515723448644,0.1617946084714049,0.1617946084714049,0.0005056081514731403,217.1259499999994,0.003725823847204937,2.9473684210526314,1.6,1.6,0.0
6,template_deposition,C,C,none,0,1.0,template_site:index=139:site=C:neigh=1:ahead0=4.343:mode=shell,z,xy,134,128,6,0,6,894.6544726971555,227.54496659920176,500.0,0.001,10.547605122820443,0.010547605122820443,-1218.0038,-1210.0531,-1218.0038,-7.9506836,-7.438843,0.3006349337475208,0.010547605122820443,0.010547605122820443,5,133,139,27,27,1.4020152151962664,4.93544856,0.0,44.54133549999998,84.38084098256354,0.0,-0.50584316,-8.104501,44.55856129899624,27.171259499999998,17.38730179899624,4.359744798996253,0.0036816358316730533,0.5688495094510698,39.49333068963213,40.198816499999985,44.548101597768834,2.801276173241902,0.671875,0.9103352128879578,0.0,4.349285097768849,0.1875,-1,50,0,0.0,0.00375,1600,6,0.00375,0.0,1.0,0.07110618868138373,0.1517225354813263,0.1517225354813263,0.0005689595080549736,217.1259499999994,0.0041926596654520585,2.9402985074626864,1.6666666666666667,1.6666666666666667,0.0
7,template_deposition,C,C,none,0,1.0,template_site:index=132:site=C:neigh=1:ahead0=4.343:mode=shell,z,xy,135,128,7,0,7,912.6803095650865,18.025836867931094,500.0,0.001,10.547605122820443,0.010547605122820443,-1226.2136,-1218.0038,-1226.2136,-8.209839,-7.663574,0.8594069270575574,0.010547605122820443,0.010547605122820443,6,134,132,26,26,1.3917365868133384,7.40317284,0.0,44.54133549999998,84.38084098256354,0.0,-0.6031382,-9.66334,44.5570583566247,27.171259499999998,17.385798856624703,4.358241856624716,0.0033709762080806013,0.6636577610262482,39.69559400933074,40.198816499999985,44.54952748982557,2.8450149710121297,0.671875,1.112598532586567,0.0,4.350710989825586,0.21875,-1,50,0,0.0,0.004375,1600,7,0.004375,0.0,1.0,0.08295722012828102,0.15894264751236672,0.15894264751236672,0.0006953740828666044,217.1259499999994,0.005124208011923818,2.933333333333333,1.7142857142857142,1.7142857142857142,0.0
8,template_deposition,C,C,none,0,1.0,template_site:index=138:site=C:neigh=2:ahead0=4.343:mode=shell,z,xy,136,128,8,0,8,1054.8464670613166,142.16615749623006,500.0,0.001,10.547605122820443,0.010547605122820443,-1238.825,-1226.2136,-1238.825,-12.611328,-11.607056,1.0,0.010547605122820443,0.010547605122820443,7,135,138,25,25,1.3273929130471407,6.169311839618483,0.7123698718896396,44.54133549999998,84.38084098256354,0.0,-0.7525954,-12.057908,44.553246706550304,27.171259499999998,17.381987206550306,4.354430206550319,0.003218908630594844,0.7584660126014264,39.796353157413535,40.198816499999985,44.549634968316575,2.9363091356253586,0.671875,1.2133576806693611,0.0,4.350818468316589,0.25,-1,50,0,0.0,0.005,1600,8,0.005,0.0,1.0,0.0948082515751783,0.15166971008367014,0.15166971008367014,0.0007583485504183507,217.1259499999994,0.005588266536861967,2.9411764705882355,2.0,2.0,0.0
9,template_deposition,C,C,none,0,1.0,template_site:index=135:site=C:neigh=1:ahead0=4.343:mode=shell,z,xy,137,128,9,0,9,1059.938414092659,5.091947031342523,500.0,0.001,10.547605122820443,0.010547605122820443,-1243.8096,-1238.825,-1243.8096,-4.984619,-4.3430176,0.9977684092742907,0.010547605122820443,0.010547605122820443,6,136,135,24,24,1.640071320340139,6.169310417268744,2.137111752780671,44.54133549999998,84.38084098256354,0.0,-0.81166834,-13.004361,44.55389308855774,27.171259499999998,17.382633588557745,4.355076588557758,0.0046379678191378,0.8532742641766048,39.90436649201667,40.198816499999985,44.550345227299296,2.9879151898119427,0.6875,1.3213710152724971,0.0,4.351528727299311,0.28125,-1,50,0,0.0,0.005625,1600,9,0.005625,0.0,1.0,0.1066592830220756,0.14681900169694412,0.14681900169694412,0.0008258568845453107,217.1259499999994,0.006085735101089947,2.934306569343066,2.0,2.0,0.0
10,template_deposition,C,C,none,0,1.0,template_site:index=137:site=C:neigh=1:ahead0=4.343:mode=shell,z,xy,138,128,10,0,10,1147.6004152142273,87.66200112156814,500.0,0.001,10.547605122820443,0.010547605122820443,-1252.0092,-1243.8096,-1252.0092,-8.199585,-7.310791,0.7934320958114136,0.010547605122820443,0.010547605122820443,7,137,137,23,23,1.4607699300843637,4.935449416887227,2.849481624670311,44.54133549999998,84.38084098256354,0.0,-0.90884185,-14.561252,44.55389308855774,27.171259499999998,17.382633588557745,4.355076588557758,0.004933387059113499,0.948082515751783,40.10185854038678,40.198816499999985,44.55000563637054,3.000974658658504,0.6875,1.5188630636426055,0.0,4.351189136370557,0.3125,-1,50,0,0.0,0.00625,1600,10,0.00625,0.0,1.0,0.11851031446897288,0.15188630636426054,0.15188630636426054,0.0009492894147766284,217.1259499999994,0.006995308776507873,2.927536231884058,2.0,2.0,0.0
11,template_deposition,C,C,none,0,1.0,template_site:index=131:site=C:neigh=1:ahead0=4.343:mode=shell,z,xy,139,128,11,0,11,1438.3324280065888,290.73201279236156,500.0,0.001,10.547605122820443,0.010547605122820443,-1259.6364,-1252.0092,-1259.6364,-7.6271973,-7.017578,0.9999961436700037,0.010547605122820443,0.010547605122820443,4,138,131,22,22,1.4332254318872177,4.935447994537489,4.274223505561342,44.54133549999998,84.38084098256354,0.0,-0.999232,-16.009462,44.55389308855774,27.171259499999998,17.382633588557745,4.355076588557758,0.005520276350912118,1.0428907673269614,40.200589030311875,40.198816499999985,44.55097087740136,3.038851728461303,0.703125,1.6175935535677013,0.0,4.3521543774013765,0.34375,-1,50,0,0.0,0.006875,1600,11,0.006875,0.0,1.0,0.13036134591587017,0.14705395941524557,0.14705395941524557,0.0010109959709798133,217.1259499999994,0.007450024069291145,2.920863309352518,2.0,2.0,0.0
12,template_deposition,C,C,none,0,1.0,template_site:index=141:site=C:neigh=1:ahead0=4.343:mode=shell,z,xy,140,128,12,0,12,1555.8209515616775,117.4885235550886,500.0,0.001,10.547605122820443,0.010547605122820443,-1267.9989,-1259.6364,-1267.9989,-8.362549,-7.6586914,0.9999999896871529,0.010547605122820443,0.010547605122820443,6,139,141,21,21,1.3917899766798834,3.701586994155973,4.98659337745098,44.54133549999998,84.38084098256354,0.0,-1.0983368,-17.597296,44.55403140106623,27.171259499999998,17.382771901066235,4.3552149010662475,0.005307656585340363,1.1376990189021396,40.39373494272278,40.198816499999985,44.550494155268275,3.03280244832084,0.703125,1.8107394659786067,0.0,4.35167765526829,0.375,-1,50,0,0.0,0.0075,1600,12,0.0075,0.0,1.0,0.14221237736276746,0.15089495549821721,0.15089495549821721,0.0011317121662366293,217.1259499999994,0.008339581086363061,2.914285714285714,2.0,2.0,0.0
13,template_deposition,C,C,none,0,1.0,template_site:index=128:site=C:neigh=1:ahead0=4.343:mode=shell,z,xy,141,128,13,0,13,1758.5999592801236,202.779007718446,500.0,0.001,10.547605122820443,0.010547605122820443,-1276.0577,-1267.9989,-1276.0577,-8.058838,-7.4953613,0.9999999151195941,0.010547605122820443,0.010547605122820443,9,140,128,20,20,1.400804358037012,3.701585571806233,6.411335258342015,44.54133549999998,84.38084098256354,0.0,-1.1938424,-19.127464,44.55413666451888,27.171259499999998,17.38287716451888,4.3553201645188935,0.005789758296539532,1.232507270477318,40.4839756293263,40.198816499999985,44.550361168793955,3.06012917376762,0.71875,1.9009801525821288,0.0,4.35154466879397,0.40625,-1,50,0,0.0,0.008125,1600,13,0.008125,0.0,1.0,0.15406340880966474,0.1462292425063176,0.1462292425063176,0.0011881125953638306,217.1259499999994,0.008755195556229618,2.9078014184397163,2.0,2.0,0.0
14,template_deposition,C,C,none,0,1.0,template_site:index=142:site=C:neigh=2:ahead0=4.343:mode=shell,z,xy,142,128,14,0,14,1777.8636766621814,19.26371738205785,500.0,0.001,10.547605122820443,0.010547605122820443,-1287.0781,-1276.0577,-1287.0781,-11.020386,-9.409912,1.0,0.010547605122820443,0.010547605122820443,10,141,142,19,19,1.391668805296915,2.467724571424717,7.123705130231651,44.54133549999998,84.38084098256354,0.0,-1.3244452,-21.219954,44.55537813788101,27.171259499999998,17.38411863788101,4.356561637881022,0.006582156733567343,1.3273155220524964,40.66262713196596,40.198816499999985,44.5498821872108,3.004831650232141,0.734375,2.079631655221789,0.0,4.351065687210813,0.4375,-1,50,0,0.0,0.00875,1600,14,0.00875,0.0,1.0,0.16591444025656205,0.14854511823012778,0.14854511823012778,0.001299769784513618,217.1259499999994,0.009577996804259439,2.915492957746479,2.142857142857143,2.142857142857143,0.0
