step,event_type,deposited_species,intended_species,impurity_kind,is_vacancy,species_flux,anchor_mode,growth_axis,surface_axes,n_atoms,n_initial,n_added,n_vacancies,n_growth_events,kmc_time,dt,temperature_K,flux_ML_s,n_sites,deposition_total_rate_s_inv,e_total_eV,e_before_eV,e_after_eV,delta_e_relaxed_eV,e_ads_unrelaxed_eV,chosen_boltzmann_probability,rate_s_inv,total_rate_s_inv,mobile_count,added_index,anchor_index,n_surface_anchors,n_tested_candidates,min_distance_A,x_event_A,y_event_A,z_event_A,surface_area_A2,gamma_initial_eV_A2,gamma_effective_eV_A2,gamma_effective_J_m2,top_coord_A,bottom_coord_A,slab_thickness_A,growth_height_A,roughness_A,coverage_estimate_ML,front_mean_A,front_median_A,front_p90_A,front_grid_rms_A,front_grid_occupied_fraction,growth_front_mean_A,growth_front_median_A,growth_front_p90_A,first_template_layer_occupancy,highest_90pct_complete_layer,n_template_layers,contiguous_90pct_complete_layers,contiguous_complete_layer_fraction,mean_template_layer_occupancy,n_template_growth_sites,n_occupied_template_growth_sites,template_growth_occupancy_fraction,frozen_vacancy_fraction_of_template,incorporation_efficiency_per_event,added_areal_density_atoms_A2,growth_front_mean_per_event_A,growth_front_mean_per_added_atom_A,growth_front_mean_per_template_site_A,template_growth_extent_A,growth_front_mean_fraction_of_template,coordination_mean,coordination_surface_mean,coordination_added_mean,fraction_added_CN4
1,deposition,Fe,Fe,none,0,1.0,"C:grid_anchor:1,6",z,xy,577,576,1,0,1,3.893699348420913,3.893699348420913,300.0,0.001,215.45543760153942,0.21545543760153943,-4986.4526,-4973.4434,-4986.4526,-12.609278,-8.169336,0.9342344843757568,0.21545543760153943,0.21545543760153943,9,576,46,64,124,1.7213175694837717,-8.672252724524055,32.35256007225746,7.835826755361078,1723.6435008123153,0.0,-0.0075475452,-0.12092501,7.295123484888809,2.1712595,5.123863984888809,0.7813449848888085,0.05228740118397289,0.004641330992301932,6.54298466777099,6.513778500000001,6.513778500000001,0.1346532163750447,0.5625,0.02920616777098939,0.0,0.0,0.0,-1,0,0,0.0,0.0,0,0,0.0,0.0,1.0,0.0005801663740377415,0.02920616777098939,0.02920616777098939,0.0,0.0,0.0,8.110918544194108,8.117647058823529,4.0,1.0
2,deposition,Fe,Fe,none,0,1.0,droplet_added:side_attach:anchor=576:cn=3,z,xy,578,576,2,0,2,5.245747962403488,1.3520486139825751,300.0,0.001,215.45543760153942,0.21545543760153943,-4996.0273,-4986.4526,-4996.0273,-9.174707,-6.778711,0.9866933294274027,0.21545543760153943,0.21545543760153943,10,577,576,1,53,1.8565401452349408,-5.98177132993343,33.36226681408237,7.275467654073119,1723.6435008123153,0.0,-0.013102468,-0.20992468,7.237452835533895,2.1712595,5.066193335533894,0.7236743355338939,0.06250595467068691,0.009282661984603865,6.551633304598658,6.513778500000001,6.513778500000001,0.15639729488262727,0.5625,0.03785480459865731,0.0,0.0,0.0,-1,0,0,0.0,0.0,0,0,0.0,0.0,1.0,0.001160332748075483,0.018927402299328655,0.018927402299328655,0.0,0.0,0.0,8.100346020761245,8.096551724137932,3.5,0.5
3,deposition,Fe,Fe,none,0,1.0,"C:grid_anchor:3,6",z,xy,579,576,3,0,3,10.435630755046859,5.189882792643371,300.0,0.001,215.45543760153942,0.21545543760153943,-5008.7544,-4996.0273,-5008.7544,-12.327051,-7.7640624,0.9288194122753465,0.21545543760153943,0.21545543760153943,17,578,286,64,126,1.7056768473651966,3.577768657002924,31.14577054218158,7.843752611076439,1723.6435008123153,0.0,-0.020486275,-0.32822633,7.614967844824934,2.1712595,5.443708344824934,1.1011893448249328,0.0907857980307575,0.013923992976905797,6.588369316838956,6.513778500000001,6.624432047912901,0.23531597954066263,0.5625,0.0745908168389553,0.0,0.11065354791290005,0.0,-1,0,0,0.0,0.0,0,0,0.0,0.0,1.0,0.0017404991221132246,0.0248636056129851,0.0248636056129851,0.0,0.0,0.0,8.1139896373057,8.123711340206185,4.0,0.3333333333333333
4,deposition,Fe,Fe,none,0,1.0,"C:grid_anchor:5,6",z,xy,580,576,4,0,4,24.367786410278292,13.932155655231433,300.0,0.001,215.45543760153942,0.21545543760153943,-5019.829,-5008.7544,-5019.829,-10.674707,-7.2889647,0.9129565620733946,0.21545543760153943,0.21545543760153943,11,579,430,64,124,1.8808140355038154,10.873918834655097,32.37270729412932,8.135609681709962,1723.6435008123153,0.0,-0.026911447,-0.4311689,7.614967844824934,2.1712595,5.443708344824934,1.1011893448249328,0.1007352518319413,0.01856532396920773,6.604843782490156,6.513778500000001,6.914548629722431,0.2490001175425888,0.5625,0.09106528249015522,0.0,0.40077012972242976,0.0,-1,0,0,0.0,0.0,0,0,0.0,0.0,1.0,0.002320665496150966,0.022766320622538805,0.022766320622538805,0.0,0.0,0.0,8.117241379310345,8.13013698630137,4.0,0.5
5,deposition,B,B,none,0,1.0,droplet_added:side_attach:anchor=579:cn=4,z,xy,581,576,5,0,5,24.521488947235063,0.1537025369567706,300.0,0.001,215.45543760153942,0.21545543760153943,-5031.867,-5019.829,-5031.867,-11.938086,-7.449805,0.9999999999898838,0.21545543760153943,0.21545543760153943,12,580,579,4,48,1.5611453531760497,13.671886436984504,32.767162352595136,7.104646331153873,1723.6435008123153,0.0,-0.03389554,-0.54306644,7.614967844824934,2.1712595,5.443708344824934,1.1011893448249328,0.10061916615101547,0.02320665496150966,6.607161278451027,6.513778500000001,6.888319270129275,0.24591047811688452,0.5625,0.09338277845102638,0.0,0.3745407701292738,0.0,-1,0,0,0.0,0.0,0,0,0.0,0.0,1.0,0.0029008318701887075,0.018676555690205276,0.018676555690205276,0.0,0.0,0.0,8.12736660929432,8.150170648464163,4.0,0.2
6,deposition,Fe,Fe,none,0,1.0,droplet_added:side_attach:anchor=580:cn=3,z,xy,582,576,6,0,6,26.134212464378713,1.6127235171436514,300.0,0.001,215.45543760153942,0.21545543760153943,-5039.549,-5031.867,-5039.549,-7.2816405,-6.591699,0.9999992682437485,0.21545543760153943,0.21545543760153943,8,581,580,5,44,2.0951030033995273,16.16683819976501,33.66394354301432,6.9612064579419615,1723.6435008123153,0.0,-0.03835217,-0.6144695,7.614967844824934,2.1712595,5.443708344824934,1.1011893448249328,0.10224079994519718,0.027847985953811594,6.61276261376324,6.513778500000001,6.9464340447250255,0.24909087734628593,0.5625,0.09898411376323946,0.0,0.43265554472502465,0.0,-1,0,0,0.0,0.0,0,0,0.0,0.0,1.0,0.0034809982442264493,0.01649735229387324,0.01649735229387324,0.0,0.0,0.0,8.123711340206185,8.142857142857142,3.8333333333333335,0.16666666666666666
7,deposition,Fe,Fe,none,0,1.0,droplet_added:side_attach:anchor=578:cn=2,z,xy,583,576,7,0,7,29.87380640751068,3.7395939431319696,300.0,0.001,215.45543760153942,0.21545543760153943,-5047.0957,-5039.549,-5047.0957,-7.146875,-6.732324,0.9730095802757343,0.21545543760153943,0.21545543760153943,10,582,578,6,37,1.8861458032664782,5.38800115888893,33.487690813809266,7.609545147371239,1723.6435008123153,0.0,-0.04273061,-0.6846199,7.701644895734686,2.1712595,5.530385395734687,1.1878663957346856,0.11244942746983964,0.032489316946113525,6.627381677656597,6.513778500000001,7.097215037225261,0.2742680133252312,0.5625,0.11360317765659644,0.0,0.5834365372252606,0.0,-1,0,0,0.0,0.0,0,0,0.0,0.0,1.0,0.004061164618264191,0.01622902537951378,0.01622902537951378,0.0,0.0,0.0,8.11663807890223,8.128813559322033,3.7142857142857144,0.14285714285714285
8,deposition,Fe,Fe,none,0,1.0,droplet_added:side_attach:anchor=582:cn=4,z,xy,584,576,8,0,8,34.32848117282814,4.4546747653174625,300.0,0.001,215.45543760153942,0.21545543760153943,-5055.625,-5047.0957,-5055.625,-8.129297,-7.557031,0.9999991958335115,0.21545543760153943,0.21545543760153943,11,583,582,7,43,1.9626776130096764,3.3063076148683734,33.54971393333791,7.077501794514295,1723.6435008123153,0.0,-0.047679022,-0.7639022,7.8639088890384645,2.1712595,5.692649389038465,1.3501303890384637,0.11921412524790957,0.03713064793841546,6.631894932152546,6.513778500000001,7.097215037225261,0.29261674404045984,0.5625,0.11811643215254541,0.0,0.5834365372252606,0.0,-1,0,0,0.0,0.0,0,0,0.0,0.0,1.0,0.004641330992301932,0.014764554019068177,0.014764554019068177,0.0,0.0,0.0,8.10958904109589,8.114864864864865,3.625,0.125
9,deposition,Fe,Fe,none,0,1.0,droplet_added:side_attach:anchor=583:cn=3,z,xy,585,576,9,0,9,35.45785567398621,1.1293745011580698,300.0,0.001,215.45543760153942,0.21545543760153943,-5066.956,-5055.625,-5066.956,-10.931055,-7.6463866,0.9997886170975329,0.21545543760153943,0.21545543760153943,14,584,583,8,46,1.7852410691923322,1.2428011935080754,32.93269509231145,7.058058233593548,1723.6435008123153,0.0,-0.05425292,-0.8692276,7.918173754543216,2.1712595,5.746914254543215,1.404395254543215,0.11745991954081435,0.04177197893071739,6.629630572447026,6.513778500000001,7.040339571578289,0.2929698720401633,0.5625,0.11585207244702556,0.0,0.5265610715782882,0.0,-1,0,0,0.0,0.0,0,0,0.0,0.0,1.0,0.005221497366339674,0.01287245249411395,0.01287245249411395,0.0,0.0,0.0,8.109401709401709,8.114478114478114,3.6666666666666665,0.1111111111111111
10,deposition,Fe,Fe,none,0,1.0,droplet_added:side_attach:anchor=577:cn=3,z,xy,586,576,10,0,10,43.064189075648116,7.606333401661905,300.0,0.001,215.45543760153942,0.21545543760153943,-5075.86,-5066.956,-5075.86,-8.503809,-7.1620116,0.9999886830791007,0.21545543760153943,0.21545543760153943,11,585,577,9,47,2.363284599613319,-3.3943840376970513,33.169940532316126,7.25413358255992,1723.6435008123153,0.0,-0.05941861,-0.95199114,7.918173754543216,2.1712595,5.746914254543215,1.404395254543215,0.11699265658279663,0.04641330992301932,6.626455574326391,6.513778500000001,7.038851698199375,0.2878568284872001,0.5625,0.11267707432639007,0.0,0.5250731981993741,0.0,-1,0,0,0.0,0.0,0,0,0.0,0.0,1.0,0.005801663740377415,0.011267707432639006,0.011267707432639006,0.0,0.0,0.0,8.1160409556314,8.12751677852349,4.0,0.2
