step,event_type,deposited_species,intended_species,impurity_kind,is_vacancy,species_flux,anchor_mode,growth_axis,surface_axes,n_atoms,n_initial,n_added,n_vacancies,n_growth_events,kmc_time,dt,temperature_K,flux_ML_s,n_sites,deposition_total_rate_s_inv,e_total_eV,e_before_eV,e_after_eV,delta_e_relaxed_eV,e_ads_unrelaxed_eV,chosen_boltzmann_probability,rate_s_inv,total_rate_s_inv,mobile_count,added_index,anchor_index,n_surface_anchors,n_tested_candidates,min_distance_A,x_event_A,y_event_A,z_event_A,surface_area_A2,gamma_initial_eV_A2,gamma_effective_eV_A2,gamma_effective_J_m2,top_coord_A,bottom_coord_A,slab_thickness_A,growth_height_A,roughness_A,coverage_estimate_ML,front_mean_A,front_median_A,front_p90_A,front_grid_rms_A,front_grid_occupied_fraction,growth_front_mean_A,growth_front_median_A,growth_front_p90_A,first_template_layer_occupancy,highest_90pct_complete_layer,n_template_layers,contiguous_90pct_complete_layers,contiguous_complete_layer_fraction,mean_template_layer_occupancy,n_template_growth_sites,n_occupied_template_growth_sites,template_growth_occupancy_fraction,frozen_vacancy_fraction_of_template,incorporation_efficiency_per_event,added_areal_density_atoms_A2,growth_front_mean_per_event_A,growth_front_mean_per_added_atom_A,growth_front_mean_per_template_site_A,template_growth_extent_A,growth_front_mean_fraction_of_template,coordination_mean,coordination_surface_mean,coordination_added_mean,fraction_added_CN4
1,template_deposition,Si,Si,none,0,1.0,template_site:index=79:site=Si:neigh=1:ahead0=1.925:mode=shell,z,xy,73,72,1,0,1,120.35539059699916,120.35539059699916,500.0,0.001,15.71574634213149,0.015715746342131492,-379.16574,-375.65967,-379.16574,-3.506073,-3.506073,0.08335300555374454,0.015715746342131492,0.015715746342131492,0,72,79,12,12,2.357192271530779,0.0,5.44370237,11.547836581764843,125.72597073705192,0.0,-0.027886625,-0.446793,11.547836581764843,0.0,11.547836581764843,1.9246394302941425,0.5128574276184421,0.06363044924689032,9.088575087500105,9.6231971514707,9.6231971514707,1.0745770494422822,0.5,0.10692441279412002,0.0,0.0,0.08333333333333333,-1,4,0,0.0,0.020833333333333332,48,1,0.020833333333333332,0.0,1.0,0.00795380615586129,0.10692441279412002,0.10692441279412002,0.002227591933210834,7.698557721176565,0.013888888888889027,3.643835616438356,2.923076923076923,1.0,0.0
2,template_deposition,Si,Si,none,0,1.0,template_site:index=81:site=Si:neigh=2:ahead0=1.925:mode=shell,z,xy,74,72,2,0,2,287.38836828288277,167.03297768588362,500.0,0.001,15.71574634213149,0.015715746342131492,-384.78604,-379.16574,-384.78604,-5.6203003,-5.5947266,0.5,0.015715746342131492,0.015715746342131492,20,73,81,11,11,2.357192271530778,1.9246394302941403,4.0827767774999995,11.547836581764843,125.72597073705192,0.0,-0.072589405,-1.1630105,11.543125440630638,0.0,11.543125440630638,1.9199282891599374,0.6718742265497021,0.12726089849378064,8.069062428897125,8.659155371465289,9.626428459959014,2.13604731097379,0.7222222222222222,-0.9125882458088608,-0.9640417800054113,0.0032313084883135446,0.16666666666666666,-1,4,0,0.0,0.041666666666666664,48,2,0.041666666666666664,0.0,1.0,0.01590761231172258,-0.4562941229044304,-0.4562941229044304,-0.019012255121017934,7.698557721176565,-0.11854015763220005,3.6486486486486487,3.0,2.0,0.0
3,template_deposition,Si,Si,none,0,1.0,template_site:index=74:site=Si:neigh=2:ahead0=1.925:mode=shell,z,xy,75,72,3,0,3,351.3988351666726,64.01046688378985,500.0,0.001,15.71574634213149,0.015715746342131492,-390.0265,-384.78604,-390.0265,-5.240448,-5.212738,0.49982292911603426,0.015715746342131492,0.015715746342131492,21,74,74,10,10,2.350750922101898,3.84927886058828,5.44370237,11.547836581764843,125.72597073705192,0.0,-0.11427092,-1.830822,11.54671223195663,0.0,11.54671223195663,1.9235150804859291,0.7657112625837492,0.19089134774067096,8.163570281519888,7.705276438210733,9.62873473049026,2.0614279547180696,0.8055555555555556,-0.8180803931860972,-1.9179207132599672,0.005537579019559757,0.25,-1,4,0,0.0,0.0625,48,3,0.0625,0.0,1.0,0.02386141846758387,-0.27269346439536574,-0.27269346439536574,-0.01704334152471036,7.698557721176565,-0.10626411112509923,3.6533333333333333,3.066666666666667,2.3333333333333335,0.0
4,template_deposition,Si,Si,none,0,1.0,template_site:index=73:site=Si:neigh=2:ahead0=1.925:mode=shell,z,xy,76,72,4,0,4,394.5647908537939,43.16595568712133,500.0,0.001,15.71574634213149,0.015715746342131492,-395.31592,-390.0265,-395.31592,-5.2894287,-5.273468,0.5381728870799095,0.015715746342131492,0.015715746342131492,22,75,73,9,9,2.3507498554423973,9.6231971514707,4.0827767774999995,11.547836581764843,125.72597073705192,0.0,-0.156342,-2.504875,11.563286749371121,0.0,11.563286749371121,1.9400895979004211,0.8320204773432297,0.2545217969875613,8.214553662769,7.7121585479024315,9.637620531365686,1.9842005457946676,0.8333333333333334,-0.7670970119369862,-1.9110386035682687,0.014423379894985544,0.3333333333333333,-1,4,0,0.0,0.08333333333333333,48,4,0.08333333333333333,0.0,1.0,0.03181522462344516,-0.19177425298424655,-0.19177425298424655,-0.015981187748687214,7.698557721176565,-0.09964165233533527,3.6578947368421053,3.125,2.5,0.0
5,template_deposition,Si,Si,none,0,1.0,template_site:index=77:site=Si:neigh=2:ahead0=1.925:mode=shell,z,xy,77,72,5,0,5,447.72977947203617,53.16498861824223,500.0,0.001,15.71574634213149,0.015715746342131492,-400.65405,-395.31592,-400.65405,-5.338135,-5.3173523,0.5372925732314964,0.015715746342131492,0.015715746342131492,23,76,77,8,8,2.3437333863289442,5.7739182908824205,4.0827767774999995,11.547836581764843,125.72597073705192,0.0,-0.19880049,-3.1851351,11.568096133474432,0.0,11.568096133474432,1.944898982003732,0.8775960094175361,0.3181522462344516,8.265947721985247,7.70738035020781,11.540163140938946,2.1656197895322618,0.9444444444444444,-0.7157029527207381,-1.9158168012628902,1.9169659894682454,0.4166666666666667,-1,4,0,0.0,0.10416666666666667,48,5,0.10416666666666667,0.0,1.0,0.03976903077930645,-0.14314059054414763,-0.14314059054414763,-0.014910478181682044,7.698557721176565,-0.0929658487526879,3.6623376623376624,3.176470588235294,2.6,0.0
6,template_deposition,Si,Si,none,0,1.0,template_site:index=82:site=Si:neigh=3:ahead0=1.925:mode=shell,z,xy,78,72,6,0,6,600.4463226844683,152.71654321243219,500.0,0.001,15.71574634213149,0.015715746342131492,-407.30753,-400.65405,-407.30753,-6.653473,-6.624695,1.0,0.015715746342131492,0.015715746342131492,24,77,82,7,7,2.331347643988279,7.69855772117656,5.44370237,11.547836581764843,125.72597073705192,0.0,-0.25172094,-4.0330143,11.58302669642586,0.0,11.58302669642586,1.9598295449551593,0.9175754798156673,0.3817826954813419,8.324224502222641,8.661052237316412,11.561079887517947,2.2766260432629624,0.9444444444444444,-0.6574261724833441,-0.9621449141542886,1.9378827360472464,0.5,-1,4,0,0.0,0.125,48,6,0.125,0.0,1.0,0.04772283693516774,-0.10957102874722402,-0.10957102874722402,-0.013696378593403002,7.698557721176565,-0.08539601783785421,3.6923076923076925,3.3333333333333335,3.0,0.0
7,template_deposition,Si,Si,none,0,1.0,template_site:index=72:site=Si:neigh=1:ahead0=1.925:mode=shell,z,xy,79,72,7,0,7,612.5443424127207,12.098019728252293,500.0,0.001,15.71574634213149,0.015715746342131492,-411.01294,-407.30753,-411.01294,-3.7054138,-3.626648,0.15983112757247075,0.015715746342131492,0.015715746342131492,22,78,72,6,6,2.368027566118897,7.69855772117656,0.0,11.547836581764843,125.72597073705192,0.0,-0.28119308,-4.50521,11.58302669642586,0.0,11.58302669642586,1.9598295449551593,0.9282322582357551,0.44541314472823224,8.543759123068874,9.615383421860699,11.563389681741581,2.451551448436512,0.8888888888888888,-0.4378915516371116,-0.007813729610001374,1.9401925302708811,0.5833333333333334,-1,4,0,0.0,0.14583333333333334,48,7,0.14583333333333334,0.0,1.0,0.05567664309102903,-0.0625559359481588,-0.0625559359481588,-0.00912274065910649,7.698557721176565,-0.05687968675387017,3.670886075949367,3.263157894736842,2.7142857142857144,0.0
8,template_deposition,Si,Si,none,0,1.0,template_site:index=83:site=Si:neigh=2:ahead0=1.925:mode=shell,z,xy,80,72,8,0,8,707.9589958726694,95.4146534599488,500.0,0.001,15.71574634213149,0.015715746342131492,-416.64587,-411.01294,-416.64587,-5.6329346,-5.59021,0.49468807326378034,0.015715746342131492,0.015715746342131492,23,79,83,5,5,2.3298535651577423,9.6231971514707,9.526479147499998,11.547836581764843,125.72597073705192,0.0,-0.32599634,-5.2230372,11.58302669642586,0.0,11.58302669642586,1.9598295449551593,0.9458011979824272,0.5090435939751226,8.112283943970356,9.613542620397718,11.565976609417378,2.9160044294582694,0.9166666666666666,-0.8693667307356296,-0.009654531072982309,1.9427794579466777,0.6666666666666666,-1,4,0,0.0,0.16666666666666666,48,8,0.16666666666666666,0.0,1.0,0.06363044924689032,-0.1086708413419537,-0.1086708413419537,-0.018111806890325616,7.698557721176565,-0.11292592225998989,3.675,3.3,2.75,0.0
9,template_deposition,Si,Si,none,0,1.0,template_site:index=80:site=Si:neigh=2:ahead0=1.925:mode=shell,z,xy,81,72,9,0,9,711.37645027946,3.4174544067904864,500.0,0.001,15.71574634213149,0.015715746342131492,-421.96643,-416.64587,-421.96643,-5.3205566,-5.2868347,0.7274416458062135,0.015715746342131492,0.015715746342131492,24,80,80,4,4,2.3409487391647943,0.0,0.0,11.547836581764843,125.72597073705192,0.0,-0.368315,-5.9010572,11.583354910930128,0.0,11.583354910930128,1.9601577594594275,0.9516030759410943,0.5726740432220129,8.324726428919236,9.616400240824678,11.56554586858231,2.7120820103429226,0.9444444444444444,-0.6569242457867492,-0.0067969106460221695,1.94234871711161,0.75,-1,4,0,0.0,0.1875,48,9,0.1875,0.0,1.0,0.07158425540275161,-0.07299158286519436,-0.07299158286519436,-0.013685921787223942,7.698557721176565,-0.08533082034050814,3.6790123456790123,3.3333333333333335,2.7777777777777777,0.0
10,template_deposition,Si,Si,none,0,1.0,template_site:index=78:site=Si:neigh=2:ahead0=1.925:mode=shell,z,xy,82,72,10,0,10,770.2107017351334,58.834251455673396,500.0,0.001,15.71574634213149,0.015715746342131492,-427.354,-421.96643,-427.354,-5.3875732,-5.3636475,0.7205064419149321,0.015715746342131492,0.015715746342131492,25,81,78,3,3,2.3597580870290455,1.9246394302941403,9.526479147499998,11.547836581764843,125.72597073705192,0.0,-0.41116673,-6.5876174,11.584074486655597,0.0,11.584074486655597,1.9608773351848967,0.956877108263139,0.6363044924689032,8.307780635018759,9.62486183872055,11.565989768083345,3.010475819761001,0.9722222222222222,-0.6738700396872268,0.0016646872498498055,1.9427926166126444,0.8333333333333334,-1,4,0,0.0,0.20833333333333334,48,10,0.20833333333333334,0.0,1.0,0.0795380615586129,-0.06738700396872269,-0.06738700396872269,-0.014038959160150558,7.698557721176565,-0.087531985092948,3.682926829268293,3.3636363636363638,2.8,0.0
