step,event_type,deposited_species,intended_species,impurity_kind,is_vacancy,species_flux,anchor_mode,growth_axis,surface_axes,n_atoms,n_initial,n_added,n_vacancies,n_growth_events,kmc_time,dt,temperature_K,flux_ML_s,n_sites,deposition_total_rate_s_inv,e_total_eV,e_before_eV,e_after_eV,delta_e_relaxed_eV,e_ads_unrelaxed_eV,chosen_boltzmann_probability,rate_s_inv,total_rate_s_inv,mobile_count,added_index,anchor_index,n_surface_anchors,n_tested_candidates,min_distance_A,x_event_A,y_event_A,z_event_A,surface_area_A2,gamma_initial_eV_A2,gamma_effective_eV_A2,gamma_effective_J_m2,top_coord_A,bottom_coord_A,slab_thickness_A,growth_height_A,roughness_A,coverage_estimate_ML,front_mean_A,front_median_A,front_p90_A,front_grid_rms_A,front_grid_occupied_fraction,growth_front_mean_A,growth_front_median_A,growth_front_p90_A,first_template_layer_occupancy,highest_90pct_complete_layer,n_template_layers,contiguous_90pct_complete_layers,contiguous_complete_layer_fraction,mean_template_layer_occupancy,n_template_growth_sites,n_occupied_template_growth_sites,template_growth_occupancy_fraction,frozen_vacancy_fraction_of_template,incorporation_efficiency_per_event,added_areal_density_atoms_A2,growth_front_mean_per_event_A,growth_front_mean_per_added_atom_A,growth_front_mean_per_template_site_A,template_growth_extent_A,growth_front_mean_fraction_of_template,coordination_mean,coordination_surface_mean,coordination_added_mean,fraction_added_CN4
1,template_deposition,Si,Si,none,0,1.0,template_site:index=59:site=Si:neigh=3:ahead0=0.786:mode=shell,z,xy,55,54,1,0,1,131.0263532248944,131.0263532248944,500.0,0.001,14.435834799462505,0.014435834799462505,-269.0708691771163,-261.2304351451096,-269.0708691771163,-7.840434032006726,-7.840434032006726,0.11112433293700244,0.014435834799462505,0.014435834799462505,0,54,59,9,9,2.3571922715307774,7.6985577211765595,6.66714655903974,9.428769086123108,115.48667839570004,0.0,-0.06789037611024279,-1.0877237338114982,9.428769086123108,0.0,9.428769086123108,0.7857307571769248,0.23571922715307744,0.06927205900397485,7.195639565725532,8.643038328946183,8.643038328946183,1.6175803711672134,0.5277777777777778,0.37218825339959594,3.142923028707701,0.0,0.1111111111111111,-1,4,0,0.0,0.027777777777777776,36,1,0.027777777777777776,0.0,1.0,0.008659007375496856,0.37218825339959594,0.37218825339959594,0.01033856259443322,6.285846057415405,0.05921052631578941,3.0545454545454547,1.5,3.0,0.0
2,template_deposition,Si,Si,none,0,1.0,template_site:index=62:site=Si:neigh=3:ahead0=0.786:mode=shell,z,xy,56,54,2,0,2,312.8688268018292,181.84247357693482,500.0,0.001,14.435834799462505,0.014435834799462505,-277.1232278717494,-269.0708691771163,-277.1232278717494,-8.052358694633085,-7.856970633958952,0.12520606911761747,0.014435834799462505,0.014435834799462505,22,55,62,8,8,2.3571922715307765,11.547836581764841,6.66714655903974,9.428769086123108,115.48667839570004,0.0,-0.1376158094372169,-2.2048483253277693,9.322849811170716,0.0,9.322849811170716,0.6798114822245331,0.26735291690318524,0.1385441180079497,7.062099782472638,8.59868889369129,8.652581018813345,1.9040146232052317,0.5833333333333334,0.23864847014670154,3.0985735934528087,0.009542689867162224,0.2222222222222222,-1,4,0,0.0,0.05555555555555555,36,2,0.05555555555555555,0.0,1.0,0.01731801475099371,0.11932423507335077,0.11932423507335077,0.006629124170741709,6.285846057415405,0.037966006161599876,3.107142857142857,1.9090909090909092,3.0,0.0
3,template_deposition,Si,Si,none,0,1.0,template_site:index=60:site=Si:neigh=3:ahead0=0.786:mode=shell,z,xy,57,54,3,0,3,382.5545966074317,69.68576980560246,500.0,0.001,14.435834799462505,0.014435834799462505,-285.000111315524,-277.1232278717494,-285.000111315524,-7.876883443774602,-7.758182179074595,0.11136139585615683,0.014435834799462505,0.014435834799462505,23,56,60,7,7,2.34022790767959,9.6231971514707,3.33357327951987,9.428769086123108,115.48667839570004,0.0,-0.20582180127279026,-3.297628780502082,9.350369962810408,0.0,9.350369962810408,0.707331633864225,0.29368712374609957,0.20781617701192454,7.237716376455434,8.58320328952131,9.276911624793025,1.9254028301362043,0.5833333333333334,0.4142650641294976,3.083087989282827,0.6338732958468416,0.3333333333333333,-1,4,0,0.0,0.08333333333333333,36,3,0.08333333333333333,0.0,1.0,0.025977022126490567,0.13808835470983252,0.13808835470983252,0.011507362892486044,6.285846057415405,0.06590442405772722,3.1578947368421053,2.25,3.0,0.0
4,template_deposition,Si,Si,none,0,1.0,template_site:index=54:site=Si:neigh=3:ahead0=0.786:mode=shell,z,xy,58,54,4,0,4,429.54773691544807,46.99314030801639,500.0,0.001,14.435834799462505,0.014435834799462505,-292.8663399635841,-285.000111315524,-292.8663399635841,-7.866228648060087,-7.740317779856582,0.44487245807665693,0.014435834799462505,0.014435834799462505,23,57,54,6,6,2.3268315906358983,0.0,0.0,9.428769086123108,115.48667839570004,0.0,-0.2739355331536872,-4.388931068252209,9.347722117048022,0.0,9.347722117048022,0.7046837881018391,0.3180307678857683,0.2770882360158994,7.418858717106175,8.577082441332838,9.288953927440115,1.67311101055296,0.5833333333333334,0.5954074047802385,3.0769671410943555,0.6459155984939322,0.4444444444444444,-1,4,0,0.0,0.1111111111111111,36,4,0.1111111111111111,0.0,1.0,0.03463602950198742,0.14885185119505961,0.14885185119505961,0.016539094577228845,6.285846057415405,0.09472191958596203,3.206896551724138,2.5384615384615383,3.0,0.0
5,template_deposition,Si,Si,none,0,1.0,template_site:index=56:site=Si:neigh=3:ahead0=0.786:mode=shell,z,xy,59,54,5,0,5,487.4264454912564,57.878708575808325,500.0,0.001,14.435834799462505,0.014435834799462505,-300.30183182483046,-292.8663399635841,-300.30183182483046,-7.435491861246362,-7.337080730610296,0.1299220079271562,0.014435834799462505,0.014435834799462505,23,58,56,5,5,2.317828260805334,3.8492788605882797,6.66714655903974,9.428769086123108,115.48667839570004,0.0,-0.3383195120206663,-5.420476125199761,9.37987511976501,0.0,9.37987511976501,0.7368367908188276,0.3327134911351281,0.3463602950198742,7.284304446628118,8.614518009185042,9.317159003676307,1.9551978670770145,0.6388888888888888,0.460853134302182,3.1144027089465602,0.6741206747301245,0.5555555555555556,-1,4,0,0.0,0.1388888888888889,36,5,0.1388888888888889,0.0,1.0,0.043295036877484275,0.0921706268604364,0.0921706268604364,0.01280147595283839,6.285846057415405,0.07331600712023707,3.2542372881355934,2.7857142857142856,3.0,0.0
6,template_deposition,Si,Si,none,0,1.0,template_site:index=58:site=Si:neigh=3:ahead0=0.786:mode=shell,z,xy,60,54,6,0,6,653.6831593366593,166.2567138454029,500.0,0.001,14.435834799462505,0.014435834799462505,-307.73970810506916,-300.30183182483046,-307.73970810506916,-7.437876280238697,-7.305258346092842,0.13039244460458724,0.014435834799462505,0.014435834799462505,24,59,58,4,4,2.2786043639944595,5.7739182908824205,3.33357327951987,9.428769086123108,115.48667839570004,0.0,-0.4027241375892863,-6.45235197877397,9.391328072005242,0.0,9.391328072005242,0.7482897430590594,0.3470731532065573,0.41563235402384907,7.3988184176054315,8.618358074983114,9.327437631550344,1.9899872095613111,0.6111111111111112,0.5753671052794953,3.1182427747446315,0.6843993026041613,0.6666666666666666,-1,4,0,0.0,0.16666666666666666,36,6,0.16666666666666666,0.0,1.0,0.051954044252981134,0.09589451754658256,0.09589451754658256,0.015982419591097093,6.285846057415405,0.091533756955555,3.3,3.0,3.0,0.0
7,template_deposition,Si,Si,none,0,1.0,template_site:index=57:site=Si:neigh=3:ahead0=0.786:mode=shell,z,xy,61,54,7,0,7,666.8538149954782,13.170655658818898,500.0,0.001,14.435834799462505,0.014435834799462505,-315.13126028751196,-307.73970810506916,-315.13126028751196,-7.391552182442808,-7.323406885060251,0.9980178034687777,0.014435834799462505,0.014435834799462505,25,60,57,3,3,2.296710081728046,3.84927886058828,0.0,9.428769086123108,115.48667839570004,0.0,-0.46672764245342846,-7.477801170199846,9.414763704839986,0.0,9.414763704839986,0.7717253758938032,0.3575695565599272,0.4849044130278239,7.484707623422885,8.621981141058695,9.35323165431798,1.988520065153147,0.6388888888888888,0.6612563110969489,3.121865840820213,0.7101933253717974,0.7777777777777778,-1,4,0,0.0,0.19444444444444445,36,7,0.19444444444444445,0.0,1.0,0.060613051628477986,0.09446518729956413,0.09446518729956413,0.01836823086380414,6.285846057415405,0.10519766234441355,3.3442622950819674,3.1875,3.0,0.0
8,template_deposition,Si,Si,none,0,1.0,template_site:index=61:site=Si:neigh=3:ahead0=0.786:mode=shell,z,xy,62,54,8,0,8,770.7281327560809,103.87431776060266,500.0,0.001,14.435834799462505,0.014435834799462505,-321.897500352749,-315.13126028751196,-321.897500352749,-6.766240065237014,-6.7249813598812125,0.6772558091030478,0.014435834799462505,0.014435834799462505,27,61,61,2,2,2.3352769272283846,7.69855772117656,0.0,9.428769086123108,115.48667839570004,0.0,-0.5253165650826981,-8.416499190944604,9.41794721925498,0.0,9.41794721925498,0.7749088903087973,0.36619786360536016,0.5541764720317988,7.483410923678836,8.620219499950712,9.356633824524634,1.987553618499624,0.6944444444444444,0.6599596113528996,3.1201041997122303,0.7135954955784509,0.8888888888888888,-1,4,0,0.0,0.2222222222222222,36,8,0.2222222222222222,0.0,1.0,0.06927205900397485,0.08249495141911245,0.08249495141911245,0.018332211426469434,6.285846057415405,0.10499137352788747,3.3870967741935485,3.3529411764705883,3.0,0.0
9,template_deposition,Si,Si,none,0,1.0,template_site:index=55:site=Si:neigh=3:ahead0=0.786:mode=shell,z,xy,63,54,9,0,9,774.448585874242,3.720453118161096,500.0,0.001,14.435834799462505,0.014435834799462505,-328.6261922808743,-321.897500352749,-328.6261922808743,-6.728691928125329,-6.655671810771025,1.0,0.014435834799462505,0.014435834799462505,27,62,55,1,1,2.2894649322297598,1.9246394302941399,3.33357327951987,9.428769086123108,115.48667839570004,0.0,-0.5835803581157815,-9.349988061311965,9.457654720295812,0.0,9.457654720295812,0.8146163913496292,0.3844825963070799,0.6234485310357736,7.559555583037708,8.610669876704192,9.383214455099793,1.9884844638605665,0.7222222222222222,0.7361042707117722,3.1105545764657094,0.7401761261536102,1.0,0,4,1,0.25,0.25,36,9,0.25,0.0,1.0,0.0779310663794717,0.08178936341241913,0.08178936341241913,0.020447340853104783,6.285846057415405,0.11710504266062814,3.4285714285714284,3.5,3.0,0.0
10,template_deposition,Si,Si,none,0,1.0,template_site:index=70:site=Si:neigh=1:ahead0=3.143:mode=shell,z,xy,64,54,10,0,10,838.4992060809079,64.05062020666588,500.0,0.001,14.435834799462505,0.014435834799462505,-332.11563887292107,-328.6261922808743,-332.11563887292107,-3.489446592046761,-3.442740601137814,0.13263695394781871,0.014435834799462505,0.014435834799462505,17,63,70,9,9,2.3681683529022215,7.69855772117656,0.0,11.785961357653884,115.48667839570004,0.0,-0.6137955018927167,-9.834088030847127,11.701170763390577,0.0,11.701170763390577,3.058132434444394,0.694982212083553,0.6927205900397484,7.738580591999387,8.613795922059884,9.394707916374799,2.1151178047764057,0.6944444444444444,0.9151292796734509,3.113680621821402,0.7516695874286157,1.0,0,4,1,0.25,0.2777777777777778,36,10,0.2777777777777778,0.0,1.0,0.08659007375496855,0.09151292796734509,0.09151292796734509,0.02542025776870697,6.285846057415405,0.1455856970270333,3.40625,2.9,2.9,0.1
