step,event_type,deposited_species,intended_species,impurity_kind,is_vacancy,species_flux,anchor_mode,growth_axis,surface_axes,n_atoms,n_initial,n_added,n_vacancies,n_growth_events,kmc_time,dt,temperature_K,flux_ML_s,n_sites,deposition_total_rate_s_inv,e_total_eV,e_before_eV,e_after_eV,delta_e_relaxed_eV,e_ads_unrelaxed_eV,chosen_boltzmann_probability,rate_s_inv,total_rate_s_inv,mobile_count,added_index,anchor_index,n_surface_anchors,n_tested_candidates,min_distance_A,x_event_A,y_event_A,z_event_A,surface_area_A2,gamma_initial_eV_A2,gamma_effective_eV_A2,gamma_effective_J_m2,top_coord_A,bottom_coord_A,slab_thickness_A,growth_height_A,roughness_A,coverage_estimate_ML,front_mean_A,front_median_A,front_p90_A,front_grid_rms_A,front_grid_occupied_fraction,growth_front_mean_A,growth_front_median_A,growth_front_p90_A,first_template_layer_occupancy,highest_90pct_complete_layer,n_template_layers,contiguous_90pct_complete_layers,contiguous_complete_layer_fraction,mean_template_layer_occupancy,n_template_growth_sites,n_occupied_template_growth_sites,template_growth_occupancy_fraction,frozen_vacancy_fraction_of_template,incorporation_efficiency_per_event,added_areal_density_atoms_A2,growth_front_mean_per_event_A,growth_front_mean_per_added_atom_A,growth_front_mean_per_template_site_A,template_growth_extent_A,growth_front_mean_fraction_of_template,coordination_mean,coordination_surface_mean,coordination_added_mean,fraction_added_CN4
1,template_deposition,Si,Si,none,0,1.0,template_site:index=59:site=Si:neigh=3:ahead0=0.786:mode=shell,z,xy,55,54,1,0,1,131.0263532248944,131.0263532248944,500.0,0.001,14.435834799462505,0.014435834799462505,-250.44549409871814,-243.38322582059698,-250.44549409871814,-7.0622682781211665,-7.0622682781211665,0.11111111111404283,0.014435834799462505,0.014435834799462505,0,54,59,9,9,2.3571922715307765,7.698557721176559,6.66714655903974,9.428769086123108,115.48667839570004,0.0,-0.06115223310798866,-0.9797667819533115,9.428769086123108,0.0,9.428769086123108,0.7857307571769248,0.23571922715307744,0.06927205900397485,7.195639565725532,8.643038328946183,8.643038328946183,1.6175803711672134,0.5277777777777778,0.37218825339959594,3.142923028707701,0.0,0.1111111111111111,-1,4,0,0.0,0.027777777777777776,36,1,0.027777777777777776,0.0,1.0,0.008659007375496856,0.37218825339959594,0.37218825339959594,0.01033856259443322,6.285846057415405,0.05921052631578941,3.0545454545454547,1.5,3.0,0.0
2,template_deposition,Si,Si,none,0,1.0,template_site:index=61:site=Si:neigh=3:ahead0=0.786:mode=shell,z,xy,56,54,2,0,2,312.8688268018292,181.84247357693482,500.0,0.001,14.435834799462505,0.014435834799462505,-258.1146766952822,-250.44549409871814,-258.1146766952822,-7.669182596564042,-6.784243091505061,0.329517925844439,0.014435834799462505,0.014435834799462505,21,55,61,8,8,2.357192271530778,7.69855772117656,0.0,9.428769086123108,115.48667839570004,0.0,-0.1275597417756688,-2.0437323602826165,9.428769086123108,0.0,9.428769086123108,0.7857307571769248,0.24915611264450682,0.1385441180079497,7.245915847067703,8.643038328946183,8.794175566165674,1.6447676794277883,0.5277777777777778,0.42246453474176704,3.142923028707701,0.15113723721949057,0.2222222222222222,-1,4,0,0.0,0.05555555555555555,36,2,0.05555555555555555,0.0,1.0,0.01731801475099371,0.21123226737088352,0.21123226737088352,0.011735125965049085,6.285846057415405,0.0672088579457631,3.107142857142857,1.9090909090909092,3.0,0.0
3,template_deposition,Si,Si,none,0,1.0,template_site:index=55:site=Si:neigh=3:ahead0=0.786:mode=shell,z,xy,57,54,3,0,3,382.5545966074317,69.68576980560246,500.0,0.001,14.435834799462505,0.014435834799462505,-265.1528207125912,-258.1146766952822,-265.1528207125912,-7.038144017309037,-6.534234752506336,0.9999988319905213,0.014435834799462505,0.014435834799462505,21,56,55,7,7,2.3571922715307783,1.9246394302941399,3.33357327951987,9.428769086123108,115.48667839570004,0.0,-0.18850308273135685,-3.0201523210090815,9.428769086123108,0.0,9.428769086123108,0.7857307571769248,0.25730770897420024,0.20781617701192454,7.4614151795102615,8.703813622874796,9.194428075231379,1.6624199556920007,0.5277777777777778,0.6379638671843253,3.2036983226363134,0.5513897462851958,0.3333333333333333,-1,4,0,0.0,0.08333333333333333,36,3,0.08333333333333333,0.0,1.0,0.025977022126490567,0.2126546223947751,0.2126546223947751,0.017721218532897924,6.285846057415405,0.10149212394912537,3.1578947368421053,2.25,3.0,0.0
4,template_deposition,Si,Si,none,0,1.0,template_site:index=56:site=Si:neigh=3:ahead0=0.786:mode=shell,z,xy,58,54,4,0,4,429.54773691544807,46.99314030801639,500.0,0.001,14.435834799462505,0.014435834799462505,-270.89659497495563,-265.1528207125912,-270.89659497495563,-5.743774262364411,-4.977843145841007,0.16781026181321543,0.014435834799462505,0.014435834799462505,23,57,56,6,6,2.23724321389419,3.8492788605882797,6.66714655903974,9.428769086123108,115.48667839570004,0.0,-0.2382384664323593,-3.8170010109317163,9.47896575484945,0.0,9.47896575484945,0.8359274259032663,0.23880091558606892,0.2770882360158994,7.356704772715902,8.71278057109625,9.065019516092953,1.9288593507995175,0.6111111111111112,0.5332534603899655,3.2126652708577677,0.4219811871467698,0.4444444444444444,-1,4,0,0.0,0.1111111111111111,36,4,0.1111111111111111,0.0,1.0,0.03463602950198742,0.13331336509749137,0.13331336509749137,0.014812596121943486,6.285846057415405,0.08483399935652051,3.206896551724138,2.5384615384615383,3.0,0.0
5,template_deposition,Si,Si,none,0,1.0,template_site:index=57:site=Si:neigh=3:ahead0=0.786:mode=shell,z,xy,59,54,5,0,5,487.4264454912564,57.878708575808325,500.0,0.001,14.435834799462505,0.014435834799462505,-276.5366083888091,-270.89659497495563,-276.5366083888091,-5.640013413853467,-5.25936056462217,0.31481455956019755,0.014435834799462505,0.014435834799462505,23,58,57,5,5,2.2215942906889237,3.84927886058828,0.0,9.428769086123108,115.48667839570004,0.0,-0.2870753841808177,-4.599454689416842,9.596387246247797,0.0,9.596387246247797,0.9533489173016143,0.29807842782968424,0.3463602950198742,7.298275551676567,8.645302465438775,9.09007396518174,1.9457490260840589,0.6388888888888888,0.4748242393506308,3.1451871652002925,0.4470356362355563,0.5555555555555556,-1,4,0,0.0,0.1388888888888889,36,5,0.1388888888888889,0.0,1.0,0.043295036877484275,0.09496484787012616,0.09496484787012616,0.013189562204184189,6.285846057415405,0.07553863632891251,3.2542372881355934,2.7857142857142856,3.0,0.0
6,template_deposition,Si,Si,none,0,1.0,template_site:index=62:site=Si:neigh=3:ahead0=0.786:mode=shell,z,xy,60,54,6,0,6,653.6831593366593,166.2567138454029,500.0,0.001,14.435834799462505,0.014435834799462505,-282.2365092843505,-276.5366083888091,-282.2365092843505,-5.699900895541418,-5.421755167895526,0.42496579176989463,0.014435834799462505,0.014435834799462505,25,59,62,4,4,2.2445658194403735,11.547836581764841,6.66714655903974,9.428769086123108,115.48667839570004,0.0,-0.3364308680749119,-5.390216713450729,9.628834050026159,0.0,9.628834050026159,0.9857957210799757,0.3250982844137877,0.41563235402384907,7.55512701170883,8.695503362722057,9.4448605006761,1.9542162744491718,0.6111111111111112,0.7316756993828939,3.195388062483575,0.801822171729917,0.6666666666666666,-1,4,0,0.0,0.16666666666666666,36,6,0.16666666666666666,0.0,1.0,0.051954044252981134,0.12194594989714898,0.12194594989714898,0.020324324982858164,6.285846057415405,0.11640051199149826,3.3,3.0,3.0,0.0
7,template_deposition,Si,Si,none,0,1.0,template_site:index=54:site=Si:neigh=3:ahead0=0.786:mode=shell,z,xy,61,54,7,0,7,666.8538149954782,13.170655658818898,500.0,0.001,14.435834799462505,0.014435834799462505,-287.67334990158844,-282.2365092843505,-287.67334990158844,-5.43684061723792,-5.121590951402823,0.14417609754178928,0.014435834799462505,0.014435834799462505,26,60,54,3,3,2.267739772358284,0.0,0.0,9.428769086123108,115.48667839570004,0.0,-0.38350851107897593,-6.1444837032855295,9.66641170155186,0.0,9.66641170155186,1.0233733726056773,0.36583374138046354,0.4849044130278239,7.548419264674355,8.679754841789428,9.526733800488266,1.9585395935861025,0.6666666666666666,0.7249679523484192,3.179639541550946,0.883695471542083,0.7777777777777778,-1,4,0,0.0,0.19444444444444445,36,7,0.19444444444444445,0.0,1.0,0.060613051628477986,0.10356685033548844,0.10356685033548844,0.020137998676344977,6.285846057415405,0.11533339278857702,3.3442622950819674,3.1875,3.0,0.0
8,template_deposition,Si,Si,none,0,1.0,template_site:index=58:site=Si:neigh=3:ahead0=0.786:mode=shell,z,xy,62,54,8,0,8,770.7281327560809,103.87431776060266,500.0,0.001,14.435834799462505,0.014435834799462505,-292.97469512517233,-287.67334990158844,-292.97469512517233,-5.301345223583894,-5.024796950094185,0.9969361598795649,0.014435834799462505,0.014435834799462505,25,61,58,2,2,2.331205062265536,5.7739182908824205,3.33357327951987,9.428769086123108,115.48667839570004,0.0,-0.42941289847004394,-6.879953065986684,9.676593509121597,0.0,9.676593509121597,1.033555180175414,0.3829209830095569,0.5541764720317988,7.708123429212365,8.690119743296584,9.526733800488266,1.9475119895307027,0.6666666666666666,0.8846721168864287,3.1900044430581023,0.883695471542083,0.8888888888888888,-1,4,0,0.0,0.2222222222222222,36,8,0.2222222222222222,0.0,1.0,0.06927205900397485,0.11058401461080358,0.11058401461080358,0.024574225469067464,6.285846057415405,0.1407403408874104,3.3870967741935485,3.3529411764705883,3.0,0.0
9,template_deposition,Si,Si,none,0,1.0,template_site:index=60:site=Si:neigh=3:ahead0=0.786:mode=shell,z,xy,63,54,9,0,9,774.448585874242,3.720453118161096,500.0,0.001,14.435834799462505,0.014435834799462505,-298.26933191726766,-292.97469512517233,-298.26933191726766,-5.294636792095332,-5.017374195507102,1.0,0.014435834799462505,0.014435834799462505,27,62,60,1,1,2.2022503946046896,9.6231971514707,3.33357327951987,9.428769086123108,115.48667839570004,0.0,-0.4752591975033744,-7.614491750600762,9.676593509121597,0.0,9.676593509121597,1.033555180175414,0.3828662178697195,0.6234485310357736,7.728172015476525,8.688252044385088,9.510799239035668,1.9233907634280363,0.75,0.9047207031505886,3.1881367441466057,0.8677609100894852,1.0,0,4,1,0.25,0.25,36,9,0.25,0.0,1.0,0.0779310663794717,0.10052452257228763,0.10052452257228763,0.025131130643071906,6.285846057415405,0.14392982183890596,3.4285714285714284,3.5,3.0,0.0
10,template_deposition,Si,Si,none,0,1.0,template_site:index=71:site=Si:neigh=1:ahead0=3.143:mode=shell,z,xy,64,54,10,0,10,838.4992060809079,64.05062020666588,500.0,0.001,14.435834799462505,0.014435834799462505,-302.08740118211335,-298.26933191726766,-302.08740118211335,-3.8180692648456898,-3.7194348774594346,0.23797533213427527,0.014435834799462505,0.014435834799462505,17,63,71,9,9,2.2849828401178924,11.547836581764841,6.66714655903974,11.785961357653886,115.48667839570004,0.0,-0.5083198874278311,-8.144182395245588,11.789715743276671,0.0,11.789715743276671,3.1466774143304885,0.7970162216361667,0.6927205900397484,7.840903219607485,8.68801982489252,9.561530959956391,2.0660813817249384,0.75,1.0174519072815489,3.187904524654037,0.9184926310102082,1.0,0,4,1,0.25,0.2777777777777778,36,10,0.2777777777777778,0.0,1.0,0.08659007375496855,0.10174519072815488,0.10174519072815488,0.028262552980043026,6.285846057415405,0.16186395562157652,3.40625,2.9,2.9,0.1
